# sample_name: ludox_SM30
# config_id: config_10
# transmission: 0.553142
# source_nexus_file: sans-llb2026n001004.nxs
# q I I_error q_error
2.551383021386265451e-02 3.518475053253521168e+01 4.270104783882508137e+00 1.040862346414135782e-02
2.683450650879430632e-02 3.978836127304432324e+01 1.070208213152475984e+01 1.041605966806918165e-02
2.830949949683266020e-02 3.824335002606406420e+01 3.462110043733150455e+00 1.042481631164169677e-02
2.942583267360261018e-02 3.785579315707875736e+01 2.793363897715004818e+00 1.043176281837051612e-02
3.101728330525534844e-02 3.939054440941104218e+01 3.476394336335244972e+00 1.044208618740910706e-02
3.189264589185831361e-02 4.504321521914231141e+01 2.608060300394295261e+00 1.044801060096162831e-02
3.326904545913451222e-02 4.667620994380644817e+01 3.326680499899431709e+00 1.045764376631421778e-02
3.454047415383434960e-02 4.845501138573566635e+01 2.638610972676014299e+00 1.046688180739399100e-02
3.560703829809356430e-02 5.208424759106397772e+01 2.917938856114223878e+00 1.047488776039286890e-02
3.690802750010339917e-02 5.041814654654230310e+01 2.810969833513998761e+00 1.048499512286149050e-02
3.811983430998006767e-02 5.400773058276976712e+01 2.030191348969879961e+00 1.049470967624610389e-02
3.961825477298105969e-02 5.448913336630145210e+01 2.467968021597509054e+00 1.050715578885631253e-02
4.088704545693355036e-02 5.846763600495707180e+01 2.335368007107467836e+00 1.051804771418903862e-02
4.218509660026641128e-02 5.893490031886228309e+01 2.467812107669047350e+00 1.052954528745483898e-02
4.350718576058241333e-02 5.446608370555332357e+01 2.135154868369780523e+00 1.054161352944782415e-02
4.465237669049706981e-02 5.325165950652613844e+01 1.620321131896712119e+00 1.055234627805039238e-02
4.601003758216647838e-02 5.070428306612924274e+01 2.095781605321118235e+00 1.056542854061688283e-02
4.718494746016674291e-02 5.396883020167256717e+01 1.767740050909367477e+00 1.057704150409658449e-02
4.844204795117251772e-02 5.001277911596606174e+01 1.845812143067325772e+00 1.058978855901478167e-02
4.965994397654294873e-02 4.650721386657782830e+01 1.689454127916033555e+00 1.060243154727883060e-02
5.091708453733081313e-02 4.282412722759316637e+01 1.196023800199160103e+00 1.061579857455949467e-02
5.217203667739503392e-02 3.923608242485933317e+01 1.400532294111257459e+00 1.062945739870709005e-02
5.359293272525237489e-02 3.622397469857217800e+01 9.447830118662418064e-01 1.064530054474004638e-02
5.484875355024881188e-02 3.287321296359306189e+01 1.149805707757498796e+00 1.065964404105759593e-02
5.618389194607838200e-02 2.881413174628993090e+01 8.410010051236408435e-01 1.067523595995302499e-02
5.745175780645001701e-02 2.591412016289725884e+01 7.149782621292691820e-01 1.069036502318480852e-02
5.863995651874496368e-02 2.312698392320098861e+01 8.372429374530220292e-01 1.070482546630658650e-02
5.996032695059091283e-02 2.129277197555331469e+01 5.354061064429059824e-01 1.072122163297981219e-02
6.113129773678818019e-02 1.883400810477508358e+01 6.360644449000658618e-01 1.073605205790899991e-02
6.250656928658468448e-02 1.497381823823420000e+01 3.862167105414985868e-01 1.075379912347519673e-02
6.361249548189847058e-02 1.471007557363614104e+01 4.458937322077684562e-01 1.076833447021282968e-02
6.485779548879562484e-02 1.336872073688874885e+01 4.086173038096369003e-01 1.078498725062461069e-02
6.627498163350599436e-02 1.147737052697615923e+01 2.871655414294713160e-01 1.080429631883680908e-02
6.746974023664904785e-02 1.032867276611501239e+01 2.930809711046939992e-01 1.082087313609275854e-02
6.894368178005617909e-02 9.607547413877529863e+00 2.572466227643791514e-01 1.084169168798206941e-02
7.006849995168301648e-02 8.257548058263045831e+00 2.219003996360013609e-01 1.085786761610231001e-02
7.140918376722477090e-02 7.307180163473755208e+00 2.079007204932040442e-01 1.087743819068017793e-02
7.261754174031447018e-02 7.117172740525992580e+00 1.919191665249453116e-01 1.089537366935576686e-02
7.379325881286100119e-02 6.122654363779470366e+00 1.705737510924621447e-01 1.091308459398013589e-02
7.529217921429702531e-02 5.635357939710776698e+00 1.420004036804241032e-01 1.093602731063888708e-02
7.632415073237461267e-02 4.995433271791693386e+00 1.387888984371924428e-01 1.095206195200450379e-02
7.767540522057862773e-02 4.693559187846250147e+00 1.348555616837482929e-01 1.097335271300134071e-02
7.885938216587037863e-02 4.348951464044522375e+00 1.100150011864389349e-01 1.099228213263261748e-02
8.021697912066746983e-02 3.894149787028713838e+00 1.010681382320113841e-01 1.101429449436713490e-02
8.161235058131673104e-02 3.893802651520061442e+00 1.101265681996835832e-01 1.103726468864164867e-02
8.269528307296802883e-02 3.406285625482658119e+00 8.758424523582845900e-02 1.105533830543047047e-02
8.421586522743748637e-02 3.104699243694637012e+00 7.859545754013567975e-02 1.108106068559058452e-02
8.530056449790657247e-02 3.090159067461821341e+00 8.016873366039792281e-02 1.109965616798100525e-02
8.661101313308382232e-02 2.712903658168813070e+00 6.962126350425880406e-02 1.112239979851906840e-02
8.791076200084668724e-02 2.718418343582087005e+00 6.785668839671188390e-02 1.114525541195023235e-02
8.906762788650368634e-02 2.533017084470461366e+00 6.531204322142418472e-02 1.116584075373851584e-02
9.044621883490527869e-02 2.499057576444755568e+00 7.031358988577605940e-02 1.119067766082247617e-02
9.152778588453026887e-02 2.309772711228619269e+00 5.435935299848818070e-02 1.121038314981420356e-02
9.292719327367925108e-02 2.286828534409842018e+00 5.981663826752418867e-02 1.123618123192835459e-02
9.419367864781065525e-02 2.252065535570332067e+00 5.565572903003555838e-02 1.125981079447476406e-02
9.549334452371775750e-02 2.155548719142764469e+00 5.486316621194886611e-02 1.128434472140639640e-02
9.691537509061480538e-02 2.075929284239997674e+00 5.526450056454140086e-02 1.131151168135529142e-02
9.801608371743542047e-02 1.991804603629737436e+00 4.576172940905304243e-02 1.133276877916822127e-02
9.943505975192225288e-02 2.001566324619489468e+00 5.548921297571433875e-02 1.136046468516649713e-02
1.005853025289989155e-01 1.966712023897731587e+00 4.507737414475111032e-02 1.138316098949317470e-02
