# sample_name: ludox_TM50
# config_id: config_9
# transmission: 0.606994
# source_nexus_file: sans-llb2026n000989.nxs
# q I I_error q_error
6.912680658809922107e-02 1.941357146994427407e-01 6.690392435085325273e-03 4.077866932783740309e-03
6.993127817346324326e-02 1.564406028190693798e-01 1.040359564888865967e-02 4.108514648311607266e-03
7.080100632692259977e-02 1.707518986229918379e-01 9.697584841866602884e-03 4.141808717104839346e-03
7.169340934962516176e-02 1.343183969869333472e-01 1.177452045973815045e-02 4.176085213426493879e-03
7.238365647837385897e-02 1.562468134271477460e-01 1.245714106607474433e-02 4.202712293599002689e-03
7.314288312152224247e-02 1.120480432215598954e-01 1.091001320350463294e-02 4.232098533165553483e-03
7.396894175306756303e-02 1.309311579929943181e-01 1.182595952387377122e-02 4.264185973081178332e-03
7.500648379952151723e-02 1.453581669121779552e-01 9.288801318883868272e-03 4.304658469115439472e-03
7.557808790591760695e-02 1.386699834002332599e-01 5.537708788238665872e-03 4.327039955223884772e-03
7.646420149768033692e-02 1.418320235198463064e-01 8.996448856369418726e-03 4.361821055012741859e-03
7.700430799393781500e-02 1.493444129838584211e-01 9.429090927068761382e-03 4.383081816157187449e-03
7.782459178281236900e-02 1.363512399664653651e-01 9.326679889503412813e-03 4.415457503937275825e-03
7.877399167898796462e-02 1.355427168462462473e-01 8.194717015594425724e-03 4.453089829653472144e-03
7.947078179242730855e-02 1.455548448936862249e-01 1.342179037581286115e-02 4.480781265508717963e-03
8.023266325433391077e-02 1.330331611583873697e-01 9.563150038225120414e-03 4.511127015554221298e-03
8.124131551999022594e-02 1.265611392685395686e-01 8.624428749885473117e-03 4.551449400062667835e-03
8.171385070269229778e-02 1.285989230654230042e-01 5.493340708061587863e-03 4.570377496324939948e-03
8.262796510520847848e-02 1.152276350341354116e-01 6.349655500402515487e-03 4.607094506689573925e-03
8.348891701343180705e-02 1.171552490186859863e-01 7.420179879461423662e-03 4.641786347823564397e-03
8.427219967241150744e-02 1.134751192854618479e-01 6.995258200424805083e-03 4.673441581319939635e-03
8.516067545365124669e-02 1.144567713903142520e-01 8.872642475220888711e-03 4.709419898029194688e-03
8.567452889930787796e-02 1.221888197239831830e-01 9.767400741597681568e-03 4.730282956247647622e-03
8.669054819519117494e-02 1.229939013252849406e-01 8.654005650152174489e-03 4.771629726059969413e-03
8.755368530828507023e-02 1.258637745527306229e-01 8.477809587061690272e-03 4.806857751503753641e-03
8.807576926032666120e-02 1.058217430751035165e-01 4.410282205203805948e-03 4.828208920351253174e-03
8.903332219479434539e-02 1.015582158197981394e-01 5.835065264543652999e-03 4.867453296454043489e-03
8.976814936152795188e-02 9.242750561119918162e-02 5.568443861532846977e-03 4.897640251785742409e-03
9.046294870108081976e-02 8.409856859065860391e-02 7.320181807021005835e-03 4.926225169280762373e-03
9.116319549948850853e-02 9.572934143406582053e-02 6.851768489005029446e-03 4.955097320764880256e-03
9.206036881843321362e-02 1.029993654046195833e-01 6.932984992866524782e-03 4.992188513082904990e-03
9.290628211560846006e-02 8.993021999650505083e-02 6.874794557522901153e-03 5.027221047720723326e-03
9.378707350667195297e-02 9.832572737268502339e-02 5.780585103008330575e-03 5.063782545281812070e-03
9.443774719061615031e-02 9.173227203336237201e-02 4.200040398644988918e-03 5.090827410097144637e-03
9.514224543078025897e-02 9.330199855834120370e-02 5.888761238856538884e-03 5.120173749821817916e-03
9.590166761003053597e-02 9.084917647696823251e-02 5.322972609045068318e-03 5.151850832072701024e-03
9.688871904032013427e-02 8.486814183098952136e-02 5.240971359794609555e-03 5.193123994217238061e-03
9.772674438531715746e-02 9.584319392342360855e-02 6.452316447687169061e-03 5.228227354795164823e-03
