# sample_name: ludox_SM30
# config_id: config_9
# transmission: 0.552543
# source_nexus_file: sans-llb2026n000988.nxs
# q I I_error q_error
4.932978283262305294e-03 7.859905848880971435e-01 1.754332211451839207e-01 5.673090788893123994e-03
5.353185808364799465e-03 7.411410462661418563e-01 1.929557553074608689e-01 5.673944096917915743e-03
5.651850993144589066e-03 6.319835183922934974e-01 1.169123788205893300e-01 5.674592300522327513e-03
6.029162238379073661e-03 9.089073498235475945e-01 1.427595735638023944e-01 5.675464577369837560e-03
6.392309602992736137e-03 8.245966935431342515e-01 1.069900579863114765e-01 5.676354985904657167e-03
6.687163922328937492e-03 8.029032823067504543e-01 1.264740786136609174e-01 5.677117120846935511e-03
7.032461424647461559e-03 7.981833965464150138e-01 7.760915333701687291e-02 5.678053496617650395e-03
7.354238702689045760e-03 9.188878633022927733e-01 9.136466687905803186e-02 5.678965965117410697e-03
7.695289130432875560e-03 9.239957962832290317e-01 9.410131988301510819e-02 5.679978763058424196e-03
8.050111978813709324e-03 8.073323267173921902e-01 6.415579199309937031e-02 5.681081890103341879e-03
8.389385469566267017e-03 7.711955175644178428e-01 6.060352320713281032e-02 5.682183075661609295e-03
8.752442946748649130e-03 8.598658229122542185e-01 6.604679586569738026e-02 5.683410127378132198e-03
9.101497594975110905e-03 8.840206936313227404e-01 6.679184045425710925e-02 5.684639912366266749e-03
9.428720281188695401e-03 8.628608627223437466e-01 5.691495082600441652e-02 5.685834696350891733e-03
9.746520921578103597e-03 8.048673082526464073e-01 5.248715796044298859e-02 5.687036166692079758e-03
1.011071326604861056e-02 8.627327025095951063e-01 5.293039143829565696e-02 5.688462229613138431e-03
1.044613994595451796e-02 8.636438235166973287e-01 4.936770295951489057e-02 5.689820328534600513e-03
1.081383447107065431e-02 8.528276491597635012e-01 4.870855068012595879e-02 5.691360821286148806e-03
1.115334743979995262e-02 8.461925040669602271e-01 4.452409570464497396e-02 5.692829461734463976e-03
1.148730745962579965e-02 8.584405550380983518e-01 4.703201030096925556e-02 5.694318290158114845e-03
1.182532244192137198e-02 8.310845288737647163e-01 4.192016907268763387e-02 5.695869758854005781e-03
1.215335274439132904e-02 8.963382313308978500e-01 4.554207696216153872e-02 5.697417783762186855e-03
1.251484396103368438e-02 8.225296979460041680e-01 3.966637966064404802e-02 5.699172004098284824e-03
1.285567338366407075e-02 7.966641250057633350e-01 3.649907772431722902e-02 5.700873027476703603e-03
1.321495435574599267e-02 7.902351637597292422e-01 3.862887252446366854e-02 5.702713983314968392e-03
1.354680958756255237e-02 8.971786924839305621e-01 4.047590108641925533e-02 5.704460030124432202e-03
1.389117566214679612e-02 8.602096733654743810e-01 3.985084297883471210e-02 5.706316818236537892e-03
1.423900655475601219e-02 9.521787815930903287e-01 4.144576232519678327e-02 5.708238926470484559e-03
1.458306571020596097e-02 9.036335178630499065e-01 4.032126744199780038e-02 5.710186186536961132e-03
1.492217454750798498e-02 8.741534535657166094e-01 3.672331789698154297e-02 5.712150057934341392e-03
1.524943635752700269e-02 9.351074995529173872e-01 3.901552287492636439e-02 5.714087550272848627e-03
1.560079463388623633e-02 8.864130589498376844e-01 3.583469546239619746e-02 5.716214025874868931e-03
1.593588812229359067e-02 9.185237016124865317e-01 3.717072595981251587e-02 5.718286048533055554e-03
1.629632523940135330e-02 8.609508848118404556e-01 3.374171122454603516e-02 5.720563661204536993e-03
1.663866206924457039e-02 9.600622873912734168e-01 3.693123187617414899e-02 5.722772750325730469e-03
1.697790145039942619e-02 9.383907201595290681e-01 3.853467409352578921e-02 5.725006350890594724e-03
1.731304560631597225e-02 9.047060160290757436e-01 3.454077284211214127e-02 5.727256515608993015e-03
1.764388672744836989e-02 9.927450548397825925e-01 3.934761832359464501e-02 5.729519893877823948e-03
1.800909900456141785e-02 9.806822588884929193e-01 3.679482248909772546e-02 5.732067195024247164e-03
1.834484651319895007e-02 1.069469201103125489e+00 3.913608781062184044e-02 5.734453789317636024e-03
1.869226604744424897e-02 1.048088537400744702e+00 3.789528259138397193e-02 5.736968750201608576e-03
1.902234044690943177e-02 1.064575432738804395e+00 3.777009619766045351e-02 5.739400924241667978e-03
1.936306609355268465e-02 1.055336440815963561e+00 3.880411862172176984e-02 5.741955396480854200e-03
1.971442078217230248e-02 1.022297328367801184e+00 3.467205455421111526e-02 5.744635530183250273e-03
2.005013577292987306e-02 1.049298351925251893e+00 3.617949278792464279e-02 5.747240264638917365e-03
2.039499083420220557e-02 1.028912132094560228e+00 3.520806255283989716e-02 5.749960152392744397e-03
2.072484678089401081e-02 1.065980260804598734e+00 3.733615180070994077e-02 5.752603824464686856e-03
2.106998800192130122e-02 1.077440340959322729e+00 3.561256977094024584e-02 5.755414575549271800e-03
2.141269472610385360e-02 1.142894139505332474e+00 3.800889273263629436e-02 5.758249575595955454e-03
2.175750280767495964e-02 1.192024160626779405e+00 3.871452001406283649e-02 5.761147311419672484e-03
2.210136542799986947e-02 1.162383020033542991e+00 3.531183341100375267e-02 5.764081273940285279e-03
2.244608324368108435e-02 1.135091858354612127e+00 3.658165535329815921e-02 5.767067138806214639e-03
2.278299527415597603e-02 1.111137977545668898e+00 3.352096747151420836e-02 5.770028523954042442e-03
2.311706690968011804e-02 1.176578316390652690e+00 3.661517655956661454e-02 5.773006960169745592e-03
2.346464996499710715e-02 1.215700075500746546e+00 3.670027067520419128e-02 5.776150289217771121e-03
2.380063336551837411e-02 1.209416615064784484e+00 3.533307695010912824e-02 5.779231869966986596e-03
2.416165167218880735e-02 1.283730443156010148e+00 3.754602405843734947e-02 5.782589703380974430e-03
2.450509012649479054e-02 1.286144418225917185e+00 3.827477732972865004e-02 5.785829303544044212e-03
2.484740414511727585e-02 1.281442115843246077e+00 3.794992966805474377e-02 5.789101653251368419e-03
2.519276232837720786e-02 1.291114947560487503e+00 3.576225490807826563e-02 5.792447703481336599e-03
2.552956860659330238e-02 1.273025668592239645e+00 3.667860581957561872e-02 5.795753185183941808e-03
2.588056415158856288e-02 1.428891362504517204e+00 3.945453776048047506e-02 5.799242438245040543e-03
2.621767379656387079e-02 1.451641551786302164e+00 4.048539386566787218e-02 5.802636515280771082e-03
2.656369194389692975e-02 1.428799545100748247e+00 4.000041321399504246e-02 5.806163922757948646e-03
2.690454262514976533e-02 1.488468185511441444e+00 3.862118712087959926e-02 5.809681901648927962e-03
2.724438286080049440e-02 1.509591959399870786e+00 4.260523247955143311e-02 5.813231879372734653e-03
2.758633686423331982e-02 1.548374629007635006e+00 3.851009082118166116e-02 5.816846895294804087e-03
2.793680586648332118e-02 1.578820542947901195e+00 4.290946458282809961e-02 5.820595975854820150e-03
2.827750323136669908e-02 1.662761879574214063e+00 4.309355076012208463e-02 5.824283637221796574e-03
2.860924777242198139e-02 1.609179702349986529e+00 4.115545532525234640e-02 5.827914840517150682e-03
2.895396874327657924e-02 1.714944866859620332e+00 4.234058624379989644e-02 5.831731042348822953e-03
2.929572107152565372e-02 1.705326911266374479e+00 4.244125155553434697e-02 5.835556534021961624e-03
2.965470594912343258e-02 1.793885536408745152e+00 4.530998146082911709e-02 5.839620801548896060e-03
2.999227129036414682e-02 1.895815607383506407e+00 4.886473443120253196e-02 5.843484941923036448e-03
3.033529100418546828e-02 1.911428357952076551e+00 4.713625152861208867e-02 5.847453862131337526e-03
3.067477907519051625e-02 1.866947251067934133e+00 4.440543884747413100e-02 5.851423470636977001e-03
3.100101111166422146e-02 1.982648621276438039e+00 4.807095943698762308e-02 5.855277156951049257e-03
3.135429517516316600e-02 2.000526122696336895e+00 4.632080912415912494e-02 5.859493714939569692e-03
3.169954849922622386e-02 2.165689676946091158e+00 5.043432890588126633e-02 5.863657306955273249e-03
3.205274655844479043e-02 2.138412363282320428e+00 4.970482266969034751e-02 5.867960682561122396e-03
3.239089912079119032e-02 2.211018230907308979e+00 4.898026662214295668e-02 5.872122685604860663e-03
3.272992611039551858e-02 2.301351929871249702e+00 5.457769801529835374e-02 5.876336308049509745e-03
3.306767150446789788e-02 2.274000382323734470e+00 4.940011513499976276e-02 5.880574487313412237e-03
3.341476445390614836e-02 2.370602198120812965e+00 5.374014424937110374e-02 5.884972366644096627e-03
3.375834766493715500e-02 2.439175772606293702e+00 5.466552725281723785e-02 5.889366943885413451e-03
3.408663861091029007e-02 2.585270516281383824e+00 5.631328974684271516e-02 5.893605266336199300e-03
3.442932128627859689e-02 2.578851532451662543e+00 5.557082352602174535e-02 5.898069924479977522e-03
3.477531363121367375e-02 2.700129652124172885e+00 5.590653631953436398e-02 5.902619513617037364e-03
3.512634297353454255e-02 2.794671664753451523e+00 6.218387751527885282e-02 5.907277907357550047e-03
3.545489840515694130e-02 2.757579582949698516e+00 5.645531430761350361e-02 5.911677515220886518e-03
3.579787441457635971e-02 2.859570895767217014e+00 6.028293024790082333e-02 5.916310040811631997e-03
3.613736521488934011e-02 2.853358902773651007e+00 5.624431008178154556e-02 5.920935899369846392e-03
3.647677714317839465e-02 2.934248901754746619e+00 5.817527426287378428e-02 5.925600630503105939e-03
