# sample_name: ludox_TM50
# config_id: config_10
# transmission: 0.579519
# source_nexus_file: sans-llb2026n001005.nxs
# q I I_error q_error
2.598850327494491297e-01 6.706163565562262008e-01 1.535736245690153337e-02 1.359465263658922278e-02
2.621505188570182887e-01 7.112342013713698341e-01 2.734828898117747445e-02 1.369183808301393732e-02
2.640790774456497902e-01 6.538411303900034666e-01 2.700318517411919028e-02 1.377471352829826717e-02
2.664590391290024285e-01 6.690425482788739941e-01 2.669939359899606290e-02 1.387713280739178399e-02
2.687787537700589979e-01 6.416923151406532799e-01 3.258133831731178931e-02 1.397707806257598995e-02
2.708576078965127532e-01 7.046356605178393240e-01 3.481677987847277278e-02 1.406679417201824912e-02
2.725435426407841755e-01 6.985146445227752299e-01 5.348017734467769985e-02 1.413961284782002358e-02
2.743252693361043493e-01 6.745745089512880099e-01 3.593765300390840828e-02 1.421670522634601620e-02
2.768615972602936903e-01 6.483616981884869901e-01 3.244696444800390656e-02 1.432655100778430605e-02
2.791367167227155610e-01 6.590898914463885205e-01 1.764524013155583868e-02 1.442519040026256708e-02
2.806598611875086857e-01 6.770591654145801108e-01 2.057157848650306362e-02 1.449133890346118898e-02
2.826458191931962571e-01 6.948084174478900144e-01 2.249333346459811422e-02 1.457765234877545120e-02
2.848042113359360861e-01 6.639469170795091468e-01 2.372093661172612611e-02 1.467155303135785765e-02
2.866699426367564363e-01 6.368382303721489279e-01 2.877025767568523740e-02 1.475281162552372245e-02
2.886898577151794099e-01 7.294431913875676354e-01 2.646027709186991525e-02 1.484090309565814537e-02
2.908588437550740924e-01 7.089365303597420231e-01 2.894229381684530755e-02 1.493556135969451894e-02
2.928934021391756404e-01 6.530545332816398707e-01 3.057432089981679604e-02 1.502446445709376514e-02
2.950336163822630531e-01 6.640018879574696165e-01 2.864313649115941829e-02 1.511809303140160092e-02
2.967585095350229740e-01 7.353950378322090531e-01 4.026908059585326133e-02 1.519360039500232407e-02
2.990014462134046314e-01 6.620910817472215326e-01 1.444267658405139904e-02 1.529191876369473575e-02
3.011798014980647809e-01 6.690482819724280494e-01 1.909499572578537974e-02 1.538749564377126650e-02
3.033758135987661975e-01 7.087634699889449053e-01 2.325177046968953873e-02 1.548393675049063167e-02
3.055232717276123999e-01 6.921631188166319504e-01 2.300693594769336048e-02 1.557833530884785399e-02
3.074720852181792585e-01 6.897927675061799047e-01 2.982034465235483545e-02 1.566408188330140408e-02
3.094612068699854612e-01 6.674741473952050530e-01 2.221059757976364887e-02 1.575169877381240105e-02
3.116186881196104097e-01 7.418586926794884517e-01 3.111640692590679491e-02 1.584678677239361594e-02
3.136417961614381134e-01 7.050516252543237439e-01 2.772147775537158951e-02 1.593604637771973281e-02
3.154816449970307968e-01 6.586113011355081426e-01 3.353821067604288025e-02 1.601728089851584338e-02
3.178056502169329667e-01 6.928403970793467481e-01 1.577597711491220134e-02 1.612000108197869305e-02
3.196092679827952088e-01 6.807779246555633046e-01 1.742958413032668838e-02 1.619978310026396612e-02
3.217617832126760113e-01 6.775713747506513229e-01 1.847239040639125918e-02 1.629505719388637044e-02
3.239178970458160278e-01 7.185698478427923197e-01 2.475029368413387762e-02 1.639058049499943909e-02
3.260824783360504742e-01 6.604915827982907883e-01 1.929467452437125599e-02 1.648655034649565768e-02
3.279034699154102506e-01 6.814251717089786498e-01 3.041400616916350996e-02 1.656734113259016386e-02
3.298957192007562211e-01 6.952306849767939667e-01 2.471978409124898565e-02 1.665581808943247463e-02
3.318465186581164295e-01 6.725723473132146912e-01 2.432180863245935257e-02 1.674249506180566435e-02
3.340068915824193074e-01 6.603285811286639939e-01 2.694815398147910185e-02 1.683856004094024320e-02
3.357511516624527292e-01 6.456703961371794698e-01 2.618193329210687093e-02 1.691616570233950984e-02
3.378027617234616864e-01 6.797143244338593737e-01 1.297542548217012898e-02 1.700754403616609040e-02
