# sample_name: ludox_TM50
# config_id: config_10
# transmission: 0.579519
# source_nexus_file: sans-llb2026n001005.nxs
# q I I_error q_error
2.281007490304723384e-01 6.677827150726749483e-01 1.647229416793236437e-02 1.224866168281937145e-02
2.298621845248440820e-01 7.028856563943216562e-01 2.574898018637016006e-02 1.232228710985958618e-02
2.313660306798174804e-01 6.832058282481356937e-01 3.112647417921890480e-02 1.238523775174177853e-02
2.328428565162082298e-01 7.210444223501704109e-01 3.260603741063733407e-02 1.244715507455231712e-02
2.345528473721972540e-01 6.939464450675936202e-01 3.079219431536306742e-02 1.251895350945415701e-02
2.360195547442456021e-01 7.102541261230170822e-01 4.540225803767428125e-02 1.258060703650091400e-02
2.369612225581936571e-01 6.994415237242895822e-01 4.323466711741522084e-02 1.262024312169526645e-02
2.386493088772062288e-01 6.877374104472888661e-01 3.076909839264182003e-02 1.269140333166581848e-02
2.404534732143762676e-01 5.880018602070314904e-01 3.845723363184334193e-02 1.276752233022999082e-02
2.415924468332070751e-01 6.839910084219118502e-01 4.505647996579296988e-02 1.281565194384542625e-02
2.429879312269884462e-01 7.294846524853233483e-01 4.650527522252774493e-02 1.287468370742346144e-02
2.442206661321546513e-01 6.796456800632073580e-01 4.451847352592597229e-02 1.292688763865239808e-02
2.457244391387282401e-01 7.717063958887651065e-01 4.782053454977262114e-02 1.299064067219378796e-02
2.476637309006072263e-01 6.989749003219616341e-01 1.940939860540264253e-02 1.307298109197122318e-02
2.489191655333160558e-01 6.791706983495453542e-01 2.045068209348997398e-02 1.312635249551864607e-02
2.505380953699092306e-01 6.702252207242695992e-01 2.269600303378238246e-02 1.319525177404009576e-02
2.521538273837195532e-01 6.887765171498846373e-01 2.729240031361503116e-02 1.326408569551590193e-02
2.533954935751402404e-01 6.551050481873119669e-01 3.097379711336136279e-02 1.331703612806140608e-02
2.548712674820677315e-01 6.622933682282047263e-01 2.576749225025900744e-02 1.338005967014645366e-02
2.566474343934403990e-01 6.916904194708362041e-01 2.733061935967733350e-02 1.345598732830699008e-02
2.583394875909874600e-01 6.401064547398909177e-01 2.933422679880618930e-02 1.352839537535122441e-02
2.597530347784969273e-01 6.637317359280996421e-01 3.203067228090734908e-02 1.358897446746106658e-02
2.610085782924833619e-01 7.020977735953911614e-01 3.380915062609479022e-02 1.364283961543432018e-02
2.624768612975713067e-01 6.636816930590233587e-01 3.110823513812784047e-02 1.370584296410127557e-02
2.640300192672865309e-01 6.834644027122374066e-01 3.341435288501695688e-02 1.377257780770160117e-02
2.656726586518827204e-01 6.656266547413374202e-01 3.092283449969805698e-02 1.384324388517317768e-02
2.673026034377050664e-01 6.639121224635359253e-01 2.204728447893695639e-02 1.391343298901958833e-02
2.681389353772277717e-01 6.802600331729939942e-01 1.745805207247239088e-02 1.394948308364028430e-02
2.697784013548202853e-01 6.696941855345851513e-01 1.989233887567221082e-02 1.402019202710388414e-02
2.712831801309496527e-01 6.411123661500058857e-01 2.193841510577433304e-02 1.408516133866967099e-02
2.725799068053305629e-01 6.587004458428321607e-01 2.623364379244637681e-02 1.414119485601414081e-02
2.740583203591679395e-01 7.129960484388176978e-01 2.406081917236824533e-02 1.420513240437668544e-02
2.758419962573820383e-01 6.773801385231641436e-01 2.296430049384437511e-02 1.428235088193080711e-02
2.773309768695566002e-01 6.684752922358745408e-01 3.276405692460342828e-02 1.434686573013610814e-02
2.787305958082546553e-01 7.074598461325136700e-01 2.362144070262190906e-02 1.440758637450488197e-02
2.802458093445203136e-01 6.550685183213595941e-01 3.169449679530222941e-02 1.447333224524907647e-02
2.811970519626832421e-01 7.076606405302923175e-01 3.511386346339179232e-02 1.451465293645170206e-02
2.829766844511755752e-01 6.269930320718359873e-01 2.104456697455023284e-02 1.459202908837465944e-02
2.847669984923197894e-01 6.964040890842642106e-01 2.849094970532636828e-02 1.466991739412549720e-02
2.864887104507793936e-01 6.924073891406485881e-01 3.416651331063576269e-02 1.474489915980372809e-02
2.875116814527781117e-01 6.672846466949522437e-01 1.490580799936566322e-02 1.478950095579191666e-02
2.890394648022021062e-01 6.715433365983184411e-01 1.975565751941718920e-02 1.485613338920432382e-02
