# sample_name: ludox_TM50
# config_id: config_9
# transmission: 0.606994
# source_nexus_file: sans-llb2026n000989.nxs
# q I I_error q_error
4.932978283262305294e-03 1.418312128334921418e+01 2.074331952180858529e+00 5.673093366877461283e-03
5.353185808364799465e-03 1.096360302922550289e+01 2.011854230675889532e+00 5.673947131684772827e-03
5.651850993144589066e-03 1.166339000386503955e+01 1.358742307494749557e+00 5.674595682231798992e-03
6.029162238379073661e-03 1.437908703334263905e+01 1.623584234589525721e+00 5.675468425891730222e-03
6.392309602992736137e-03 1.197719700180387470e+01 1.157591137247777402e+00 5.676359310868485213e-03
6.687163922328937492e-03 1.243478355698444204e+01 1.362003741406907276e+00 5.677121853556452331e-03
7.032461424647461559e-03 1.166482835737926038e+01 7.878116217436006430e-01 5.678058730217641278e-03
7.354238702689045760e-03 1.251729982112971129e+01 9.242001261570303994e-01 5.678971686739922413e-03
7.695289130432875560e-03 1.359126063025929554e+01 1.109549502230503970e+00 5.679985026271734162e-03
8.050111978813709324e-03 1.145946022393427199e+01 6.106141031265770458e-01 5.681088743100983461e-03
8.389385469566267017e-03 1.170323872558007317e+01 6.294790086620906111e-01 5.682190517291559571e-03
8.752442946748649130e-03 1.220501356474188448e+01 6.840965810291415039e-01 5.683418224787307668e-03
9.101497594975110905e-03 1.319170440030459979e+01 7.474553305358248023e-01 5.684648666873685224e-03
9.428720281188695401e-03 1.203255857251524219e+01 5.726909915464122314e-01 5.685844089119021852e-03
9.746520921578103597e-03 1.257299157183515881e+01 5.686488324469548550e-01 5.687046201157925675e-03
1.011071326604861056e-02 1.259622756570374591e+01 5.721102780268376709e-01 5.688473025554741797e-03
1.044613994595451796e-02 1.313569799711528319e+01 5.669718187345220706e-01 5.689831849484269614e-03
1.081383447107065431e-02 1.286381470200246468e+01 5.150110322151431053e-01 5.691373164404318723e-03
1.115334743979995262e-02 1.318224547846948802e+01 4.837522282486439451e-01 5.692842588466757135e-03
1.148730745962579965e-02 1.276032180050655995e+01 5.158793857121733994e-01 5.694332211070581018e-03
