# sample_name: ludox_TM50
# config_id: config_10
# transmission: 0.579519
# source_nexus_file: sans-llb2026n001005.nxs
# q I I_error q_error
2.551383021386265451e-02 4.819202212281471702e+02 5.917267765481481945e+01 1.040860091169873956e-02
2.683450650879430632e-02 4.762527808582872240e+02 1.378114829562806278e+02 1.041603474244883962e-02
2.830949949683266020e-02 3.849815314045065406e+02 3.345152852332081750e+01 1.042478859359494657e-02
2.942583267360261018e-02 3.090895570089110151e+02 2.203165609615615850e+01 1.043173288678965471e-02
3.101728330525534844e-02 2.291102809174879553e+02 1.902475005731213642e+01 1.044205296893832915e-02
3.189264589185831361e-02 2.175814715545741365e+02 1.234858052999246603e+01 1.044797549765049717e-02
3.326904545913451222e-02 1.644983979368636824e+02 1.150833483297117787e+01 1.045760560048629786e-02
3.454047415383434960e-02 1.250978438267146942e+02 6.897773500208881359e+00 1.046684070728229159e-02
3.560703829809356430e-02 9.700005862580803750e+01 5.427361399604196279e+00 1.047484411941367391e-02
3.690802750010339917e-02 7.965010005891021194e+01 4.704965251525794478e+00 1.048494827682032622e-02
3.811983430998006767e-02 6.171752618413683678e+01 2.447134743547755509e+00 1.049465975257205322e-02
3.961825477298105969e-02 5.063358382963462390e+01 2.267854737862782244e+00 1.050710192627016086e-02
4.088704545693355036e-02 4.647727260267809868e+01 1.875776762979105339e+00 1.051799040831914202e-02
4.218509660026641128e-02 4.190886675530850880e+01 1.781919368989759000e+00 1.052948435063520358e-02
4.350718576058241333e-02 3.529135383058441988e+01 1.387797473974635043e+00 1.054154878564332598e-02
4.465237669049706981e-02 3.238710849089116550e+01 9.958364744108040290e-01 1.055227815213638336e-02
4.601003758216647838e-02 2.892232878966187926e+01 1.198321870985496362e+00 1.056535629676513821e-02
4.718494746016674291e-02 2.944645248788022229e+01 9.775697664174324286e-01 1.057696560897814636e-02
4.844204795117251772e-02 2.575751522792352688e+01 9.474120261405563070e-01 1.058970866056212559e-02
4.965994397654294873e-02 2.279219853375720817e+01 8.328732048115851105e-01 1.060234768281657393e-02
5.091708453733081313e-02 2.015104283296219734e+01 5.648724756400619329e-01 1.061571052197086279e-02
5.217203667739503392e-02 1.785082333847524438e+01 6.415778591132956787e-01 1.062936507186512496e-02
5.359293272525237489e-02 1.555725806185910365e+01 4.073293437382267679e-01 1.064520326678679643e-02
5.484875355024881188e-02 1.381361376059878943e+01 4.898175921719013504e-01 1.065954228680970721e-02
5.618389194607838200e-02 1.174072464038706087e+01 3.486905454408217864e-01 1.067512934642107607e-02
5.745175780645001701e-02 1.041678208097692959e+01 2.941873698165445861e-01 1.069025370118014892e-02
5.863995651874496368e-02 9.242592898364586418e+00 3.407022237549795496e-01 1.070470964993157532e-02
5.996032695059091283e-02 8.523385620113963057e+00 2.211295210186395577e-01 1.072110072768367103e-02
6.113129773678818019e-02 7.822831381685836583e+00 2.705328521289098731e-01 1.073592655610889485e-02
6.250656928658468448e-02 6.434407131861318518e+00 1.699349039955219132e-01 1.075366812921546567e-02
