# sample_name: ludox_SM30
# config_id: config_9
# transmission: 0.552543
# source_nexus_file: sans-llb2026n000988.nxs
# q I I_error q_error
6.912680658809922107e-02 2.532931352443249517e-01 8.171388607705960122e-03 4.077162969833993122e-03
6.993127817346324326e-02 2.506447840543972183e-01 1.435218572910848360e-02 4.107799583575576403e-03
7.080100632692259977e-02 2.252315693867962543e-01 1.181125507285130279e-02 4.141081640508860809e-03
7.169340934962516176e-02 2.194006163924351049e-01 1.626451876323810677e-02 4.175345822093670493e-03
7.238365647837385897e-02 2.044265093281421031e-01 1.524458369138706471e-02 4.201963371079443614e-03
7.314288312152224247e-02 2.053105691673041688e-01 1.606013382965496700e-02 4.231339126876502987e-03
7.396894175306756303e-02 1.866462046789390816e-01 1.511193745556516088e-02 4.263415160496073462e-03
7.500648379952151723e-02 1.978057422060265358e-01 1.158056395366614810e-02 4.303873329362532633e-03
7.557808790591760695e-02 1.878326823309815485e-01 6.894639612772489150e-03 4.326246920500052655e-03
7.646420149768033692e-02 1.658555971029292420e-01 1.021117677897828355e-02 4.361015790126052463e-03
7.700430799393781500e-02 1.618616828918973127e-01 1.035199293262496593e-02 4.382269098085040358e-03
7.782459178281236900e-02 1.595099252752800179e-01 1.058172389887348380e-02 4.414633468770828850e-03
7.877399167898796462e-02 1.526099852225327458e-01 9.038872247091888495e-03 4.452252688273332717e-03
7.947078179242730855e-02 1.428309530744774070e-01 1.375477503095749732e-02 4.479934512514278933e-03
8.023266325433391077e-02 1.482143202575299801e-01 1.039576340382924839e-02 4.510269760597995954e-03
8.124131551999022594e-02 1.439014092233129039e-01 9.764610534911644449e-03 4.550578239467064669e-03
8.171385070269229778e-02 1.508987672224175458e-01 6.266047382068102266e-03 4.569499827066073917e-03
8.262796510520847848e-02 1.443497236413640583e-01 7.289461417619678106e-03 4.606204245556889086e-03
8.348891701343180705e-02 1.350199531320027679e-01 8.446413230375145881e-03 4.640884229439317006e-03
8.427219967241150744e-02 1.324021631036365332e-01 7.965644808261819476e-03 4.672528676808996445e-03
8.516067545365124669e-02 1.315423363119115618e-01 9.988456376574124038e-03 4.708494772040500674e-03
8.567452889930787796e-02 1.403890083201632943e-01 1.177510911701916754e-02 4.729350761307292601e-03
8.669054819519117494e-02 1.297370303295630189e-01 9.400940256080103294e-03 4.770683560035327529e-03
8.755368530828507023e-02 1.281593777550570912e-01 9.036831972608962496e-03 4.805899721259381842e-03
8.807576926032666120e-02 1.169216381361374707e-01 4.788329520661873881e-03 4.827243716643955275e-03
8.903332219479434539e-02 1.149919198282421673e-01 6.413005430562437534e-03 4.866474940917402126e-03
8.976814936152795188e-02 1.039332330059563048e-01 6.219904799757832066e-03 4.896651808613045574e-03
9.046294870108081976e-02 1.121426209907647326e-01 1.017012157878408561e-02 4.925227196462961254e-03
9.116319549948850853e-02 1.227676659663941849e-01 8.428038900526348479e-03 4.954089744499286067e-03
9.206036881843321362e-02 1.088826277526018238e-01 7.456193998599153737e-03 4.991168631322205271e-03
9.290628211560846006e-02 1.193989889199026100e-01 8.190865741815525972e-03 5.026189575599874539e-03
9.378707350667195297e-02 1.146092256791628461e-01 6.292600688783500477e-03 5.062739009540034689e-03
9.443774719061615031e-02 1.227568532809279467e-01 5.344593950642430140e-03 5.089774971790212571e-03
9.514224543078025897e-02 1.074710286565931511e-01 6.565004295109772708e-03 5.119111671193500926e-03
9.590166761003053597e-02 1.125665787537876716e-01 6.379625966659255992e-03 5.150778370246565131e-03
9.688871904032013427e-02 1.095777552357913021e-01 6.341270433615273441e-03 5.192038038542289534e-03
9.772674438531715746e-02 1.001918819707909442e-01 6.668796329074730411e-03 5.227129952754467831e-03
9.839948604893429540e-02 1.094021077913435169e-01 9.169904661818073857e-03 5.255348780213921212e-03
9.907676600226171526e-02 1.044865599910503318e-01 6.946023245511807019e-03 5.283805428779541312e-03
1.000884161207767631e-01 1.012050914863437262e-01 5.504690906376153402e-03 5.326390903290780139e-03
1.007865682219624276e-01 1.101276872878447083e-01 4.206253639607426126e-03 5.355827848572914697e-03
1.015680265879659594e-01 1.050563829849553571e-01 6.789628944311726713e-03 5.388823456308972429e-03
1.024118321132690690e-01 1.022644304498269985e-01 5.188691653136653752e-03 5.424513813760753825e-03
1.031730364480170636e-01 1.197105708244687594e-01 8.926928202680074753e-03 5.456766506746613468e-03
1.037116952901892680e-01 1.006499239910315507e-01 6.835045170819227349e-03 5.479602561675726846e-03
1.045314647161894733e-01 1.045944631284778797e-01 6.911205311017975389e-03 5.514418770144315605e-03
1.054084538182482461e-01 1.038766650144939546e-01 6.477341277953367962e-03 5.551731929879124942e-03
1.064054554079548187e-01 1.037851475580753996e-01 5.440348579747267786e-03 5.594214808486483621e-03
1.069869925823379309e-01 1.100905458933445075e-01 5.022694600252417506e-03 5.619030657666935352e-03
1.077707645032296574e-01 1.049794670772507404e-01 6.574683409209143570e-03 5.652506537165298203e-03
1.085723664155812812e-01 9.564893925079324954e-02 5.053587072031228214e-03 5.686802155841962081e-03
1.093899684539689082e-01 1.123848357429507450e-01 8.416357653138101941e-03 5.721823711825676541e-03
1.101623157103238937e-01 1.027573618068870626e-01 5.356748386278964262e-03 5.754953325118784477e-03
1.111885961929292427e-01 9.051018660398248150e-02 8.034533690688783897e-03 5.799029589075698626e-03
1.117955191218407279e-01 1.016038592535804946e-01 6.105144533841679044e-03 5.825143428834501404e-03
1.127151873932166204e-01 1.007372527369244236e-01 5.461481139674652721e-03 5.864744110197949584e-03
1.132754480089998017e-01 9.645056079328656606e-02 4.341481193684815915e-03 5.888894812646726373e-03
1.140785230248246435e-01 9.939108373631111437e-02 5.254113200254937124e-03 5.923556337602051310e-03
1.148775457302277092e-01 9.053227143584427483e-02 5.558131496929253831e-03 5.958079062450379743e-03
1.157127324835853371e-01 9.471079686625021032e-02 4.936695698560833803e-03 5.994211163388584070e-03
1.166241622325776967e-01 9.375980465474033354e-02 6.326139272348007582e-03 6.033678326900529867e-03
1.173031257324496923e-01 9.154050764756149761e-02 6.755989688084056317e-03 6.063119022835201238e-03
1.179491789798190610e-01 9.655626124041991054e-02 6.620317685100068385e-03 6.091158223471901736e-03
1.190766840506857355e-01 9.471521431380626466e-02 4.134492502559482772e-03 6.140147222785417164e-03
1.197087848510871438e-01 7.914824565673181378e-02 3.924680186358312298e-03 6.167649567555547573e-03
1.205753137293604643e-01 8.384212392410975156e-02 5.437386633988021585e-03 6.205376614383703929e-03
1.211941806697471313e-01 8.962435215800262922e-02 4.671096217261153961e-03 6.232356774753520547e-03
1.220537114492434017e-01 7.648668932154654987e-02 5.537398802794611836e-03 6.269851553395306906e-03
1.229010500542873086e-01 7.937030424957353114e-02 4.180777334057151837e-03 6.306855985849133331e-03
1.236943484118755016e-01 8.540491223113254315e-02 7.563966387525626264e-03 6.341526348011647385e-03
1.244115927731244270e-01 8.724417040787915689e-02 5.510080113573119324e-03 6.372908855354791381e-03
1.253060397995369446e-01 8.797121382611548801e-02 4.129838413596811572e-03 6.412082255728668648e-03
1.258858315581974086e-01 9.172366113574881297e-02 4.795438560349057043e-03 6.437494933579077094e-03
1.267145509706270046e-01 7.980084695836313358e-02 4.235740421088930209e-03 6.473846939075104251e-03
1.274448230214476063e-01 8.130290220708197291e-02 5.102307665773349148e-03 6.505909518848929790e-03
1.284430596384790180e-01 8.517936412287213654e-02 4.547734808476075474e-03 6.549780312367901348e-03
1.291855941836271560e-01 8.479644423296674172e-02 7.253990528434552283e-03 6.582441317614180255e-03
1.299652914360428790e-01 7.560299691501307096e-02 5.541600686857218495e-03 6.616764847647641119e-03
1.307085381465528939e-01 8.123218243250142356e-02 4.431386952770032840e-03 6.649518466601831920e-03
1.316411589637405399e-01 7.913742743242960231e-02 4.090140696616222094e-03 6.690634864986807866e-03
1.322548567090669203e-01 8.668809160608989539e-02 4.040339399019475010e-03 6.717718835060665708e-03
1.331349192332277609e-01 8.135822421322494447e-02 4.214443004127594108e-03 6.756588798316565635e-03
1.340061062102867739e-01 7.997817378747898442e-02 5.170585172753478301e-03 6.795090968104668637e-03
1.346870489617462141e-01 7.372181926715327960e-02 4.372114300999454389e-03 6.825212164821081035e-03
1.352825447451627972e-01 7.364224889526717333e-02 6.587455158947201628e-03 6.851569420071349295e-03
1.361524964030965124e-01 7.448335184503486472e-02 4.034708349708292403e-03 6.890098199314481468e-03
1.369488541922877500e-01 6.297705047161679393e-02 5.045146073056298343e-03 6.925392176944707850e-03
1.378694932191203981e-01 7.304845944641916167e-02 3.080808209584898032e-03 6.966227320759312523e-03
1.386040071365623461e-01 7.255264309947775936e-02 3.887253368944784682e-03 6.998832802888952341e-03
1.394358433778243866e-01 7.897075696976486869e-02 4.569370214751546956e-03 7.035784592980796198e-03
1.400625788110187175e-01 6.661407771860620997e-02 4.431715605244399003e-03 7.063639733106131385e-03
1.409293399490124110e-01 6.568247902057092191e-02 4.674850903109565789e-03 7.102190190508546851e-03
1.416824760681733020e-01 7.410388973077397523e-02 4.309973501841797214e-03 7.135712015870513888e-03
1.425767781710334525e-01 7.154136693673629477e-02 4.565377436038057027e-03 7.175537212927405803e-03
1.433183709917382198e-01 7.559464356812377328e-02 4.792853865789785915e-03 7.208592504905135707e-03
1.441361430325860393e-01 7.706603746657968157e-02 3.398909810948458864e-03 7.245054801160246555e-03
1.449466187924051130e-01 7.185338778207206456e-02 4.282355222751770864e-03 7.281219778123621325e-03
1.456261792864440019e-01 7.662093219285613654e-02 4.431298211953801913e-03 7.311561482413810563e-03
1.463868830769947671e-01 7.473316969794524534e-02 5.744111029879600192e-03 7.345539387973995700e-03
1.471859712453746083e-01 7.600775720434749250e-02 4.214302715122104394e-03 7.381256075588978754e-03
1.479493102371975677e-01 7.588942410202306754e-02 5.302811507387556605e-03 7.415398504189522726e-03
1.488795213070041312e-01 7.968298464330908493e-02 4.742298836133306515e-03 7.457024710189118048e-03
1.495919031965791957e-01 8.295846662713747544e-02 7.173759880628440867e-03 7.488922259805157709e-03
1.503868150286968020e-01 1.011077605401929091e-01 4.787188551275100602e-03 7.524533349114825506e-03
1.511336457409969136e-01 8.621703367268319929e-02 5.149575117003225670e-03 7.558011187417459920e-03
1.519119054521081980e-01 8.579493270599473920e-02 5.858752170297625884e-03 7.592911089193663671e-03
1.528157726612329459e-01 8.991453184565455226e-02 5.541675351321506855e-03 7.633474147163918540e-03
1.535621783199300483e-01 9.183027310716154745e-02 7.091371709393889944e-03 7.666988398244509000e-03
1.542614193075365903e-01 9.694305508733662424e-02 7.823196760773965669e-03 7.698396131150085295e-03
1.550930180943935754e-01 8.810140336091711044e-02 6.381000189122711802e-03 7.735768149352120586e-03
1.558924407365434861e-01 1.195513707917474772e-01 1.219403724340107666e-02 7.771713944920297795e-03
1.566151291125708889e-01 1.506877612939866440e-01 7.850905968612180083e-03 7.804223149843438762e-03
1.573806806124636859e-01 1.476151513805492865e-01 1.021262985455314784e-02 7.838679305959619925e-03
1.582085245799086382e-01 1.267374567909572425e-01 9.661647003539585929e-03 7.875954434464959783e-03
1.590610569050296408e-01 1.263045717581925409e-01 1.095923188337908673e-02 7.914365357163100773e-03
1.598077806293442260e-01 1.382301644251217043e-01 1.281411053555153549e-02 7.948022498442119943e-03
1.605937260697183622e-01 1.286059994676354568e-01 1.281940061167508374e-02 7.983458533870984447e-03
1.613561241017580083e-01 1.742301596600854818e-01 2.242222175763394082e-02 8.017856432227580404e-03
1.621637345456509172e-01 1.506050780247291665e-01 2.006875731577620683e-02 8.054306393344475706e-03
1.629224895995013134e-01 3.208943471565007255e-01 1.961112553108767739e-02 8.088567306112676505e-03
1.638438589512360710e-01 3.637354342040474142e-01 4.466885353844647633e-02 8.130190010683274390e-03
1.645307594254935279e-01 4.881684755074263693e-01 1.010915578880128701e-01 8.161234895376536652e-03
1.654837986244175607e-01 3.364468060985030262e-01 6.383085696159787603e-02 8.204324495366082173e-03
1.661488380334016079e-01 3.514882868259032178e-01 6.905859433084615695e-02 8.234406257663426723e-03
1.670509941191050396e-01 6.788063378817228433e-01 2.438245953959037871e-01 8.275227759168932162e-03
1.676337535975227777e-01 1.445099951376945580e+00 1.588399095957957696e+00 8.301610110980557275e-03
1.684213425678956488e-01 2.730582899665144225e+00 1.181544663174225640e+01 8.337281609570285079e-03
1.693340768773476668e-01 6.182672183997355297e-01 3.416515707327166806e-01 8.378628536420422782e-03
1.701314768254090226e-01 4.583805339504016807e-01 1.548516254921725732e-01 8.414768491665532493e-03
1.709409550534918831e-01 3.414713525208495914e-01 5.440300651973034585e-02 8.451472571690430910e-03
1.717111440994234517e-01 1.115463603624291533e+00 1.535122137399889120e+00 8.486408474005557867e-03
1.723935219157459175e-01 5.770707391300403666e-01 1.650882980460438298e-01 8.517368245913653144e-03
1.732466839105673839e-01 3.168767652904720400e-01 4.143205012932323072e-02 8.556094496306388547e-03
1.738870144037510390e-01 8.818072768928989502e-01 2.920907404934376395e-01 8.585172394560341286e-03
1.748484419399002343e-01 9.192678240803521250e-01 1.054585626587013714e+00 8.628843675082343082e-03
1.755963148113969530e-01 7.368348898380888690e-01 1.795043385971998029e-01 8.662830724948413635e-03
1.764236494389438137e-01 5.590030908386647290e-01 8.202903271885118863e-02 8.700439043661018293e-03
1.771649534937369819e-01 7.202844095146011538e-01 1.304014231293460779e-01 8.734148779596389786e-03
1.781003852951062172e-01 9.782987216633832750e-01 3.100258451271318272e-01 8.776698328148023823e-03
1.787081015685527130e-01 6.692145760309788916e-01 1.386901966648381446e-01 8.804356201640398116e-03
1.794387846424942146e-01 1.324982379197895632e+00 4.673516099947467861e-01 8.837612297546064075e-03
1.802886287124912112e-01 7.545660533051443686e-01 1.567842609558462164e-01 8.876311752521877721e-03
1.811441908910116916e-01 1.454575225422865214e+00 7.827960457294402818e-01 8.915280904051815433e-03
1.821303071666768025e-01 9.805406049180719341e-01 2.176801582678806191e-01 8.960218648896397381e-03
1.826220809236453191e-01 1.160432213940567836e+00 2.575899076614450722e-01 8.982628769224064100e-03
1.834441989775189852e-01 1.068992801825926930e+00 2.872860340819189395e-01 9.020111195900267290e-03
1.842661174842161742e-01 1.102649278434101099e+00 2.127875909015016775e-01 9.057595776838855278e-03
1.849824702826822487e-01 9.756505715233741993e-01 2.854741188217282399e-01 9.090276242129227691e-03
1.858345927924828500e-01 3.252833881274231675e+00 1.261187519125737033e+01 9.129167503113745641e-03
1.865487077442713471e-01 1.096252343604439572e+00 2.994998049336742851e-01 9.161764243513894138e-03
1.874501911354155836e-01 1.059426799118716955e+00 1.732554287067112619e-01 9.202930164711405764e-03
1.881923744496910023e-01 8.486998368415987759e-01 1.291757215570304151e-01 9.236828510730181116e-03
1.889644149535587569e-01 1.201636451163832664e+00 2.422228133611251943e-01 9.272102727519236642e-03
1.899097589651304041e-01 1.287824706915356554e+00 2.246792357523576533e-01 9.315307402795919983e-03
1.904718191142716899e-01 1.034534509294347204e+00 2.599292479235271736e-01 9.341001873408676798e-03
1.914593363667692061e-01 1.674065708807538133e+00 8.583215088282912797e-01 9.386159112299969492e-03
1.921543957854533191e-01 1.740219532036668681e+00 8.418074919177963578e-01 9.417955878711097364e-03
1.930552006127002895e-01 1.745591276783522439e+00 1.267738876106919488e+00 9.459174944838258728e-03
1.936268417469247938e-01 2.252829005908304705e+00 3.714790281351106671e+00 9.485330630704216434e-03
1.945112821918800194e-01 9.523663929320298482e-01 1.988728954299089080e-01 9.525820140349436013e-03
1.953198294732155504e-01 1.092970236383112637e+00 1.775116118930112341e-01 9.562839761906161487e-03
1.962293340137746533e-01 1.358545587369627272e+00 3.057006755617162064e-01 9.604499255293011406e-03
1.969984020923302992e-01 1.160119921142723332e+00 2.474261359877461264e-01 9.639733624358520769e-03
1.977342381918383019e-01 9.082946927458943609e-01 1.188581151944716613e-01 9.673453569606395297e-03
1.984355183699666458e-01 1.194392273007394367e+00 2.701589503682432225e-01 9.705601293407254554e-03
1.992667419800250028e-01 1.389296224997134566e+00 2.918434105811935630e-01 9.743712457778037558e-03
2.001115273265958727e-01 1.013334109998785149e+00 2.427551706389669550e-01 9.782451806176029746e-03
2.008620144500311011e-01 1.445161772882748386e+00 4.331354083999073845e-01 9.816878662195613683e-03
2.015310237155266970e-01 2.635423705167326602e+00 3.421320318420364881e+00 9.847574008090550363e-03
2.024952263253209095e-01 1.127683963923918231e+00 3.434861340479003489e-01 9.891824419610234162e-03
2.032328669490078565e-01 8.382205491530899666e-01 1.655787658061413092e-01 9.925688046708973714e-03
2.041881312972649576e-01 2.249082327320858443e+00 3.833010277453547499e+00 9.969546988745057320e-03
2.047105915278461252e-01 1.277443675600558048e+00 3.973580452549437259e-01 9.993544171753980868e-03
2.054945975738923514e-01 1.378794318639956495e+00 4.661885750467068545e-01 1.002955532551559094e-02
2.062475908163743654e-01 1.338854751153218059e+00 4.338254427748663988e-01 1.006415202307730031e-02
2.071323093706471941e-01 1.443117002286002704e+00 6.582544530124200266e-01 1.010480970019303135e-02
2.080013536520660400e-01 4.715740197104269171e+00 1.517330903281902899e+01 1.014475760736706367e-02
2.085796562411084132e-01 2.015370921423513373e+00 1.382922007432944911e+00 1.017134130923909481e-02
2.094338630247540578e-01 1.752233000755881065e+00 6.279197608076830806e-01 1.021062859915029472e-02
2.101550618460966968e-01 1.233063703862566474e+00 3.959497397229281290e-01 1.024379595811969988e-02
2.110726867290899367e-01 1.555414800844973744e+00 5.761134476408800165e-01 1.028600995506435099e-02
2.117465135100812523e-01 1.677675968460733857e+00 4.765706711608758139e-01 1.031701655014055467e-02
2.125053159826960636e-01 8.368012150766994672e-01 3.086960906148792927e-01 1.035193752521529342e-02
2.134200232066678082e-01 1.576197625576994055e+00 4.122406557351289136e-01 1.039405038232891522e-02
2.144040820093940647e-01 1.805941531447721182e+00 7.946167409371357460e-01 1.043935499572046406e-02
2.151054200890038792e-01 1.685953102949739213e+00 8.063658760054870367e-01 1.047166123592604622e-02
2.158182860523780167e-01 2.073043264188295876e+00 1.886756932772369666e+00 1.050449509164260407e-02
2.164289746589083407e-01 2.261065382317199557e+00 1.314733912717417796e+00 1.053263030937172211e-02
2.174163789302771821e-01 2.153912564175481936e+00 9.848902064619239338e-01 1.057812784194284671e-02
2.181234528830356956e-01 1.011773075376767750e+00 2.816009394676600719e-01 1.061072053093422771e-02
2.190464155972045301e-01 3.726008128427812149e+00 2.197117247182791999e+00 1.065325720577263435e-02
2.196153733083912596e-01 1.934120589505960108e+00 8.048404242823632426e-01 1.067949724361472869e-02
2.207990933371312137e-01 1.895272751544252898e+00 9.855407194224234946e-01 1.073407653566518967e-02
2.210672658596135043e-01 3.876467072912962664e+00 3.348744133357727470e+00 1.074644649340969482e-02
2.217777282934703109e-01 2.532922274640986959e+00 1.666142493548651959e+00 1.077921771639339839e-02
2.227464081682917207e-01 4.012413044653052374e+00 2.464605804226890573e+00 1.082391170052930500e-02
nan nan nan nan
2.246611332711450637e-01 1.406625573090649617e+01 4.900233541780186641e+01 1.091227841845596527e-02
nan nan nan nan
2.263158589191590353e-01 7.020436974707450872e+00 5.895520220775071429e+00 1.098867827323550539e-02
