# sample_name: ludox_SM30
# config_id: config_10
# transmission: 0.553142
# source_nexus_file: sans-llb2026n001004.nxs
# q I I_error q_error
2.281007490304723384e-01 8.386539824310513813e-01 1.936477589089306492e-02 1.225019306371684900e-02
2.298621845248440820e-01 8.476098416362701782e-01 2.944911937874878857e-02 1.232383294037064578e-02
2.313660306798174804e-01 8.783683130385369076e-01 3.737467857281415867e-02 1.238679591219721959e-02
2.328428565162082298e-01 8.646325672078152280e-01 3.731720781985475854e-02 1.244872534074382628e-02
2.345528473721972540e-01 8.676484790312961604e-01 3.625426915962309815e-02 1.252053778661904246e-02
2.360195547442456021e-01 7.885644098449121620e-01 4.926209219469514927e-02 1.258220332243372222e-02
2.369612225581936571e-01 7.535180829024251681e-01 4.602167075289614884e-02 1.262184711705021008e-02
2.386493088772062288e-01 8.498967091926059592e-01 3.590679779644722486e-02 1.269302114707474352e-02
2.404534732143762676e-01 7.995171194398705827e-01 4.765341570080953298e-02 1.276915489935713868e-02
2.415924468332070751e-01 8.788441556328397963e-01 5.395872519548633450e-02 1.281729382623033112e-02
2.429879312269884462e-01 9.520284963886568308e-01 5.658262217354975698e-02 1.287633699657694461e-02
2.442206661321546513e-01 8.740643903995279906e-01 5.331482970781383640e-02 1.292855100063260328e-02
2.457244391387282401e-01 8.835469073031272380e-01 5.313712876412077235e-02 1.299231631709004200e-02
2.476637309006072263e-01 8.474252632204392066e-01 2.231926916873419944e-02 1.307467257153407773e-02
2.489191655333160558e-01 8.491740031765822039e-01 2.398259569890433610e-02 1.312805422137826826e-02
2.505380953699092306e-01 8.579317067834223431e-01 2.712848494859649087e-02 1.319696670731222189e-02
2.521538273837195532e-01 8.713019649151396706e-01 3.231302372504431253e-02 1.326581380155333716e-02
2.533954935751402404e-01 8.437164152465381761e-01 3.686683656056687769e-02 1.331877435240758252e-02
2.548712674820677315e-01 8.565612888959902582e-01 3.118454646426264965e-02 1.338180992109791294e-02
2.566474343934403990e-01 8.313412536792327279e-01 3.119746435564632256e-02 1.345775204473471931e-02
2.583394875909874600e-01 8.020390529774332755e-01 3.453011081189377024e-02 1.353017386307520803e-02
2.597530347784969273e-01 8.604234705134183869e-01 3.863980885271692256e-02 1.359076445927489586e-02
2.610085782924833619e-01 8.143933406937032826e-01 3.779852130478972977e-02 1.364463982317257011e-02
2.624768612975713067e-01 8.425598770957922756e-01 3.688241931702636311e-02 1.370765510535965764e-02
2.640300192672865309e-01 8.654641129386723142e-01 3.984228539541777997e-02 1.377440257124602080e-02
2.656726586518827204e-01 8.869376891477711577e-01 3.804061348222342182e-02 1.384508199464480789e-02
2.673026034377050664e-01 8.430332890166122306e-01 2.630665994106022240e-02 1.391528433436153497e-02
2.681389353772277717e-01 8.381872123876848990e-01 2.033494344548331459e-02 1.395134121946790817e-02
2.697784013548202853e-01 8.198724483800848839e-01 2.306599875128960420e-02 1.402206346697512998e-02
2.712831801309496527e-01 7.943016083606067035e-01 2.557766747504888055e-02 1.408704498550874748e-02
2.725799068053305629e-01 7.961887931331624868e-01 3.006444983110764455e-02 1.414308901787707934e-02
2.740583203591679395e-01 8.694133162384245495e-01 2.792199881590701205e-02 1.420703854997113803e-02
2.758419962573820383e-01 8.037694974792142233e-01 2.608830906912618444e-02 1.428427148012097192e-02
2.773309768695566002e-01 8.674794860347101455e-01 3.960985455033481234e-02 1.434879838640958777e-02
2.787305958082546553e-01 8.401589713581292251e-01 2.682409812763343268e-02 1.440953036590375026e-02
2.802458093445203136e-01 8.173103087908512032e-01 3.716040893552924329e-02 1.447528849496931141e-02
2.811970519626832421e-01 8.778387234131853623e-01 4.104070343723017350e-02 1.451661688258274428e-02
2.829766844511755752e-01 8.085450523096752162e-01 2.520275020671377056e-02 1.459400743056447208e-02
2.847669984923197894e-01 8.750228392047268988e-01 3.366008613859828441e-02 1.467191020680025382e-02
2.864887104507793936e-01 8.331283057386471569e-01 3.911616848097830557e-02 1.474690588350708459e-02
2.875116814527781117e-01 8.279098668823655638e-01 1.742170849076321235e-02 1.479151594532901112e-02
2.890394648022021062e-01 8.622698605144852868e-01 2.364659670526052249e-02 1.485816071514358197e-02
2.905209752283373636e-01 8.244521233939027249e-01 2.769813557710638918e-02 1.492283266910781475e-02
2.919951275485281328e-01 8.359363322846888877e-01 2.265779379422567033e-02 1.498725123894457251e-02
2.936301341132043219e-01 8.371557640684849089e-01 3.309028516197750486e-02 1.505872801538853632e-02
2.947385830514812621e-01 8.585596926595303602e-01 2.903802298963633136e-02 1.510724239995553907e-02
2.964507545886056472e-01 8.462222514654840211e-01 2.537726545207609832e-02 1.518221091404063465e-02
2.982490841197552589e-01 8.356986806432171733e-01 2.786284857945604820e-02 1.526101138006968026e-02
2.997182021361909365e-01 8.049298567067286747e-01 3.049914296189110141e-02 1.532545919916519610e-02
3.010261782566685529e-01 8.122272031829598227e-01 2.660919623950902188e-02 1.538286341624567864e-02
3.026608108413141873e-01 7.900677851268126384e-01 3.019911786841621495e-02 1.545464494231736999e-02
3.040592434063441596e-01 8.329470984925250177e-01 2.776801754827734267e-02 1.551611346613103980e-02
3.056557839384755337e-01 8.290160163273556648e-01 3.134085148290289419e-02 1.558631566124311571e-02
3.069486919121803270e-01 8.391114654274429707e-01 1.745567898032140269e-02 1.564320884077408103e-02
3.084825738682945295e-01 8.387823101614199084e-01 1.974417578543387342e-02 1.571075800052618154e-02
3.099963430136039033e-01 8.353878730157764387e-01 2.773790217408117487e-02 1.577745957226705034e-02
3.112168118678615980e-01 8.527645836492182552e-01 2.266294363117933586e-02 1.583126888414779221e-02
3.129212171374740614e-01 8.549761583927960595e-01 2.349519921043618717e-02 1.590645957679263228e-02
3.144967768226155647e-01 8.595400795819523321e-01 2.832706305800184940e-02 1.597601574770022084e-02
3.159013588906901537e-01 8.394740680919303699e-01 2.402254480569034761e-02 1.603806207432151645e-02
3.174102544515015056e-01 8.799516117829431217e-01 2.979038478262733408e-02 1.610476808379547944e-02
3.185307811189315719e-01 8.102513036773379973e-01 2.748242434022705322e-02 1.615431459121510066e-02
3.204353358030234689e-01 8.459865227610610106e-01 2.284992358223546585e-02 1.623859909320376702e-02
3.220186485857292613e-01 8.568805727578542308e-01 3.993889460673854391e-02 1.630870381900021912e-02
3.228011208186664649e-01 8.230871859400717971e-01 2.780041109044143963e-02 1.634337416266509746e-02
3.245916360407202217e-01 8.107413135285426176e-01 2.411218976287645560e-02 1.642274917216913002e-02
3.262244450191393863e-01 8.496328220401859754e-01 1.732085809606525792e-02 1.649516293276642037e-02
3.275463353627434127e-01 8.560773507405711191e-01 2.241994696889784700e-02 1.655382594866204246e-02
3.290722925503125063e-01 8.304098038361135137e-01 1.985638808962300605e-02 1.662158638146114462e-02
3.308045452861019808e-01 8.495635079975588644e-01 2.365946145330690906e-02 1.669854163913065889e-02
3.320795366532470760e-01 8.152025650705374549e-01 2.542449915727377704e-02 1.675522032735572708e-02
3.333098192878505839e-01 8.448716266485730708e-01 2.626077305660668923e-02 1.680993142936713231e-02
3.348957015226272094e-01 8.494621229676377894e-01 2.360178081130772168e-02 1.688049356807762649e-02
3.365914923407900550e-01 8.332252540824273135e-01 2.304417473019423554e-02 1.695599091230167235e-02
3.379724603643295966e-01 8.245647909805295939e-01 2.786964681450193951e-02 1.701751071448641753e-02
3.394761049947194742e-01 8.573857179072975621e-01 2.396082437923549580e-02 1.708451920562740339e-02
3.408299827510634650e-01 9.141554205460212801e-01 3.606346529467316375e-02 1.714488291774697581e-02
3.421452014366184735e-01 7.753004262687753778e-01 2.216930912429841347e-02 1.720354787456745277e-02
3.442566685083524591e-01 8.231431901893068170e-01 2.138451540647990853e-02 1.729779108931473602e-02
3.455113684057568024e-01 8.328272865608928877e-01 1.831499848068647573e-02 1.735381996259382012e-02
3.469732438270466401e-01 8.187664736803513810e-01 1.780862294999201872e-02 1.741913529524079934e-02
3.485251199219590035e-01 8.039416258321385733e-01 2.254225046615328590e-02 1.748849518174764792e-02
3.498367051837143471e-01 8.031004760831464973e-01 2.115550044547748892e-02 1.754714881473391080e-02
3.512460340825162564e-01 8.507971876306053005e-01 2.347261520319837355e-02 1.761019565949342378e-02
3.527659539363461882e-01 8.437571574081014214e-01 2.173220068135730751e-02 1.767822160597314063e-02
3.544044820453650657e-01 8.313747898762599009e-01 2.329434273848673617e-02 1.775159437211826577e-02
