# sample_name: ludox_SM30
# config_id: config_9
# transmission: 0.552543
# source_nexus_file: sans-llb2026n000988.nxs
# q I I_error q_error
5.969542390185473418e-02 4.342820083428118871e-01 1.205653567843261928e-02 3.728134690371139297e-03
6.034226396181534974e-02 3.885551684591464494e-01 1.708246256604065150e-02 3.751409728004482472e-03
6.089812617988303589e-02 3.614836315351787066e-01 1.946129029584966336e-02 3.771491902797137908e-03
6.144077182435274398e-02 3.919253210089360673e-01 2.129117098421001372e-02 3.791175489352250055e-03
6.192777626093420168e-02 4.104566118491130844e-01 3.113944116206625659e-02 3.808896262358915392e-03
6.241384031234069318e-02 3.616033087932907231e-01 2.025099486079183844e-02 3.826656385409177991e-03
6.293363865535542279e-02 3.005018877414272760e-01 2.461339783903011141e-02 3.845685183991392163e-03
6.356472737067683787e-02 2.972079532665400925e-01 1.797139155621353679e-02 3.868896393230329082e-03
6.424007360968177205e-02 3.359472218265771026e-01 2.637552633609269170e-02 3.893818271932843710e-03
6.461772245468716536e-02 2.358728066709726567e-01 2.124449438925582814e-02 3.907804017461677035e-03
6.516237269409848321e-02 3.193150176810942709e-01 2.584818825352617686e-02 3.928030121410414598e-03
6.576867563326783961e-02 3.029982535703342195e-01 1.338118714489630254e-02 3.950625887245064888e-03
6.614191705908580021e-02 2.885947090757775002e-01 1.052642097351728749e-02 3.964575134794609199e-03
6.671536920778201041e-02 2.690690957395703298e-01 1.268505873670003510e-02 3.986061878114196752e-03
6.727331130772147560e-02 2.704529732142281762e-01 1.449734126234579652e-02 4.007029902716964173e-03
6.778236575834388489e-02 2.424651648473014065e-01 1.334749086754778713e-02 4.026221439283791600e-03
6.829754652689057348e-02 2.662958765947287532e-01 1.704139733694146758e-02 4.045689119446768331e-03
6.879209896383409184e-02 2.319245474901532600e-01 1.297716979143930666e-02 4.064436533572407875e-03
6.943037669345879237e-02 2.602121953521435160e-01 1.678811375947082338e-02 4.088697613416744994e-03
6.993400476234450103e-02 2.199349414885125864e-01 1.247689555647868605e-02 4.107906194839364838e-03
7.045625993403653586e-02 2.666068212191786135e-01 2.523506097953642779e-02 4.127856305692268434e-03
7.086310683634433616e-02 2.506122264690218149e-01 1.621627670648357472e-02 4.143444484145998932e-03
7.131911912305163859e-02 1.884071297745212870e-01 1.404840763038519083e-02 4.160948148578690400e-03
7.213632538159334140e-02 1.963020844676999499e-01 7.154643792076859424e-03 4.192419655295165533e-03
7.258774424267358527e-02 1.997480221675518863e-01 9.247352790318845439e-03 4.209854529228534113e-03
7.311107252867139750e-02 2.048886420006225395e-01 9.421413814730513966e-03 4.230115169601271832e-03
7.367557320495204953e-02 1.882346157592281188e-01 9.998254778376770846e-03 4.252018034892438535e-03
7.419537079891397324e-02 1.576164328656624591e-01 8.992172534817165913e-03 4.272232885022793705e-03
7.481695162658472120e-02 1.919013180329832424e-01 1.191990089261031095e-02 4.296467138185047600e-03
7.529751382175978169e-02 1.614385343370225157e-01 9.135357674415358828e-03 4.315255929000482056e-03
7.562206053925574212e-02 1.489320762932561659e-01 1.714689902562496066e-02 4.327952997331337669e-03
7.620275767932808975e-02 1.615256359996464219e-01 9.193787154858620858e-03 4.350734561729232772e-03
7.678190082729043076e-02 1.662202197769883094e-01 1.087219745307820874e-02 4.373504474420357446e-03
7.725637191141274118e-02 1.553197072971602699e-01 1.252462206720249271e-02 4.392198334658088503e-03
7.783203267950795923e-02 1.621613040411941098e-01 9.317746047863581169e-03 4.414930457177205017e-03
7.850126671240996445e-02 1.576075498963759869e-01 6.296996600299254766e-03 4.441415633466649568e-03
7.899060204531639651e-02 1.545838995466038701e-01 7.670886012620405613e-03 4.460829049454325540e-03
7.942879981670053491e-02 1.684943729283513159e-01 9.892391958832824281e-03 4.478239126194929684e-03
7.996117585066947475e-02 1.442433549554559269e-01 7.245701731349724062e-03 4.499433970406542180e-03
8.056201434338908229e-02 1.304247251562531407e-01 8.409155297507592969e-03 4.523400687320081395e-03
8.103404617568950308e-02 1.435248827110623404e-01 8.712814304698822745e-03 4.542267809635613766e-03
8.160201917376426473e-02 1.543607304208816922e-01 8.206087163958000752e-03 4.565010483110778367e-03
8.214930817199180002e-02 1.442824390002231949e-01 1.031292316053375631e-02 4.586964709000356487e-03
8.265989358431100054e-02 1.450490899588929294e-01 8.887268501165709877e-03 4.607484985472067897e-03
8.318256493928398443e-02 1.171311783943135704e-01 7.877742101211782089e-03 4.628526288384744898e-03
8.378183228181233788e-02 1.550239135038049276e-01 1.094421026084425701e-02 4.652704304049019163e-03
8.425758210438737128e-02 1.295757621891373279e-01 8.211553670399990637e-03 4.671925705214881666e-03
8.479028360015422594e-02 1.243800227699951577e-01 5.227454646377223749e-03 4.693482273713352887e-03
8.533893583465047838e-02 1.296990263677092192e-01 6.348053129255258609e-03 4.715730014922083976e-03
8.582221861979920374e-02 1.239006242999049628e-01 6.519974926580494184e-03 4.735353655209409603e-03
8.642451277825077827e-02 1.323433824831618810e-01 6.451865643715341651e-03 4.759850444130399490e-03
8.705900607264868696e-02 1.342451412583895443e-01 7.712227780834970785e-03 4.785704075952250565e-03
8.762881889752739684e-02 1.200437265548032900e-01 6.592504707614670750e-03 4.808965721444884850e-03
8.818093917320958541e-02 1.364271412408667450e-01 1.001190761346281398e-02 4.831540423815044311e-03
8.855176132118638965e-02 1.360162254972457352e-01 7.603845235057879112e-03 4.846729844052208476e-03
8.916795901954985282e-02 1.388724113148944728e-01 8.648860472559390458e-03 4.871989241268630255e-03
8.963170233363071393e-02 1.250299355294798853e-01 7.500126224318568249e-03 4.891036853505706730e-03
9.014804818518762364e-02 1.204712751465307763e-01 9.570322107229854366e-03 4.912264841736918401e-03
9.069986081900453800e-02 1.056019153581915920e-01 6.915481873507335273e-03 4.934992337858845959e-03
9.113098358908745811e-02 1.219677192279637890e-01 4.838303593990033770e-03 4.952764819917070994e-03
9.178799028746870148e-02 1.295459289378907142e-01 5.819945060998549941e-03 4.979893806804106156e-03
9.235762557739379819e-02 1.093709605510400640e-01 6.423348348005856502e-03 5.003452820256226903e-03
9.282473719851348781e-02 1.168887247941696322e-01 6.538601881271332607e-03 5.022797469704166039e-03
9.343214520791595645e-02 1.166377549640584543e-01 6.087708966199994846e-03 5.047983405852937873e-03
9.395062828396515131e-02 1.188059165411380624e-01 8.166392989207359870e-03 5.069515348932753483e-03
9.434773594118193996e-02 1.139021823739216066e-01 7.156150205824288180e-03 5.086024085423537788e-03
9.493360445887956411e-02 1.185985478371335972e-01 6.543860228388675461e-03 5.110411096111621733e-03
9.549893264615305633e-02 1.110471047623156765e-01 6.530405744789653105e-03 5.133972692374340688e-03
9.605517785630157679e-02 1.039693007354226401e-01 7.558063432989457937e-03 5.157185854257252504e-03
9.645734446451943722e-02 9.938225583490162274e-02 7.365388089963734869e-03 5.173986994814098496e-03
9.714181199834164004e-02 1.130421981038978729e-01 4.855904766405253793e-03 5.202624602439591579e-03
9.761070220557745147e-02 1.168315226988323186e-01 5.079661716381511476e-03 5.222265212901316608e-03
9.819784979944429226e-02 1.276569130972092514e-01 6.073825501425921328e-03 5.246887004845522846e-03
9.873141459092488192e-02 1.257306238508271723e-01 5.984393043642325175e-03 5.269290832685093011e-03
9.919299974119309693e-02 1.157090336669056585e-01 7.535092763121369226e-03 5.288693188293670279e-03
9.971508408701391935e-02 1.099225813361649345e-01 5.831692671940967576e-03 5.310661481718019147e-03
1.002671229623913612e-01 1.158795748632745620e-01 6.064462731153851503e-03 5.333914754515721099e-03
1.008436645414449023e-01 1.046270228242280192e-01 6.244031731003987090e-03 5.358231115139786352e-03
1.013250986273512982e-01 1.063132215343051135e-01 6.077307658874147624e-03 5.378555984192954706e-03
1.019620799398899269e-01 1.093478794177253632e-01 5.849528570228772727e-03 5.405478626585826646e-03
1.024641589551506804e-01 9.334384202237522299e-02 7.061063690379245326e-03 5.426727827634899096e-03
1.029328446505897582e-01 1.085325294694247933e-01 5.977868075029942226e-03 5.446575836838426186e-03
1.035467045731912616e-01 1.020073283922819929e-01 4.841636416455645867e-03 5.472600852523148637e-03
1.040049139022520691e-01 1.043395860169874928e-01 4.388590547480168344e-03 5.492051759207006688e-03
1.046124707272265003e-01 1.045897505162893953e-01 5.378274766634555046e-03 5.517862503258655349e-03
1.051007880776206604e-01 1.074731894364591572e-01 5.258499976069228726e-03 5.538635002544516767e-03
1.056948026439201854e-01 1.015626163691795841e-01 5.743300221071716283e-03 5.563919120670281562e-03
1.061782808738630512e-01 1.114610548613069879e-01 6.609210579587678110e-03 5.584518627892081331e-03
1.066335207921809136e-01 9.697063223721359704e-02 5.354880230062543899e-03 5.603933293781767321e-03
1.072496858539278980e-01 1.017094072855691672e-01 6.338902593562359411e-03 5.630238252730040104e-03
1.077044923042363989e-01 1.070211402258727934e-01 6.490624399285781915e-03 5.649668424293108511e-03
