GRASP V.7.11CD    Instrument:  ILL_d11 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  Acb75 73.1D 
Start: 11-Jul-16   17:39:51   End: 11-Jul-16   17:54:51 
  
Foreground: Sum 11334 , Loaded: 11334 
Background: Sum 10997 , Loaded: 10997 
Cadmium: Sum 11333 , Loaded: 11333 
Det: 1 : Applying Deadtime Correction per Detector: 1/[1-tau/detector_rate], tau = 0 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 128.8722  Cy = 119.958       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.95753 +/- 0.0030718  Te = 0.94716 +/- 0.0024123 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.0056 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.00127438	-326.489	361.741	0.000396282
0.00137785	66.0314	226.166	0.000396639
0.0014742	209.86	172.812	0.000396895
0.00157546	-80.2219	130.101	0.000397108
0.00167636	-114.102	106.67	0.000397281
0.00177626	51.5557	93.405	0.000397422
0.00187566	87.1841	81.7409	0.000398165
0.00197679	73.2562	68.8245	0.000399569
0.00207817	112.632	57.2184	0.000400681
0.00217877	91.6481	50.0059	0.000401575
0.00227879	35.9917	48.1487	0.000402312
0.00237848	31.1485	43.1908	0.00040293
0.00247939	38.2383	39.4051	0.000403463
0.00258116	23.8821	39.3459	0.000403928
0.00268256	66.0013	35.6343	0.00040433
0.00278246	55.3154	32.8944	0.00040513
0.00288319	58.2412	30.2421	0.00040681
0.00298486	40.2031	29.2781	0.000408257
0.00308481	15.6081	30.0689	0.000409486
0.00318525	30.1035	27.1348	0.000410564
0.0032862	38.1095	25.5623	0.000411518
0.00338777	37.7485	23.0098	0.000412369
0.00348912	26.473	24.4539	0.000413126
0.0035877	44.3324	23.6831	0.000413789
0.00368797	58.4621	20.5714	0.000414661
0.0037887	50.2783	18.8287	0.000416608
0.00388942	38.7408	18.8985	0.000418336
0.00399016	50.6153	18.4249	0.000419879
0.00409032	51.5749	19.9109	0.000421258
0.00419142	48.5113	20.6488	0.000422517
0.00429224	55.6858	21.1001	0.000423655
0.00439309	67.4112	19.7699	0.000424694
0.00449349	74.3377	19.9975	0.000425642
0.00459419	65.5786	20.5702	0.000426605
0.00469587	70.3363	21.3462	0.000428816
0.00479661	87.1332	19.5074	0.000430804
0.00489669	90.3847	17.6629	0.000432605
0.00499775	112.679	17.7786	0.00043427
