GRASP V.7.11CD    Instrument:  ILL_d11 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  Acb75 73.1D 
Start: 11-Jul-16   17:39:51   End: 11-Jul-16   17:54:51 
  
Foreground: Sum 11334 , Loaded: 11334 
Background: Sum 10997 , Loaded: 10997 
Cadmium: Sum 11333 , Loaded: 11333 
Det: 1 : Applying Deadtime Correction per Detector: 1/[1-tau/detector_rate], tau = 0 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 128.8722  Cy = 119.958       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.95753 +/- 0.0030718  Te = 0.94716 +/- 0.0024123 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.0056 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
0.00509955	122.727	19.1583	0.000435811
0.00520108	139.506	20.7595	0.000437227
0.00530107	175.559	21.023	0.000438518
0.00540074	211.189	21.9194	0.000439712
0.00550176	271.79	23.1141	0.000440838
0.00560207	343.55	24.8756	0.000443183
0.00570195	458.235	27.5714	0.000445387
0.00580316	610.478	31.1207	0.000447451
0.00590432	815.356	34.3921	0.000449364
0.00600516	1110.27	38.9063	0.000451138
0.00610539	1416.91	43.5104	0.000452781
0.00620533	1770.17	48.21	0.000454313
0.00630622	2292.14	53.8516	0.000455761
0.00640706	2660.68	57.7562	0.00045712
0.00650809	3142.69	61.6974	0.000459515
0.0066088	3589.66	65.5187	0.000461944
0.00670951	3855.14	67.5908	0.000464213
0.0068111	4139.02	68.2092	0.000466354
0.00691114	4412.78	73.0916	0.000468332
0.00701148	4286.94	68.4465	0.000470197
0.00711252	4194.88	69.1985	0.000471966
0.00721315	3908.85	65.0149	0.000473628
0.00731439	3396.79	59.5521	0.000475208
0.00741439	3052.99	57.1135	0.00047762
0.00751484	2618.01	51.7192	0.000480226
0.00761609	2147.3	47.2809	0.000482697
0.00771659	1767.45	43.1205	0.000485009
0.00781701	1362.34	37.3613	0.000487191
0.00791724	1005.85	32.4037	0.000489252
0.00801798	733.98	27.3364	0.000491214
0.00811903	541.951	24.7386	0.000493081
0.00821964	402.736	21.9083	0.000494847
0.00832064	295.226	19.2849	0.000497297
0.00842135	246.096	18.1382	0.000500069
0.00852209	183.757	16.2931	0.000502695
0.00862264	140.283	14.734	0.000505179
0.00872274	129.41	13.9851	0.000507528
0.00882398	97.6323	13.8398	0.000509786
0.00892513	78.8017	13.4877	0.000511933
0.00902623	66.2504	13.355	0.000513978
0.00912684	60.1623	12.8306	0.00051592
0.00922699	51.2336	11.9746	0.000518369
0.009328	51.2641	11.0745	0.000521291
0.00942862	52.4973	11.1644	0.000524059
0.00952879	57.3437	11.5671	0.000526683
0.00962949	55.1022	10.7901	0.0005292
0.00973057	46.5303	10.4241	0.000531611
0.00983135	41.9659	11.2394	0.000533908
0.00993195	44.58	11.4387	0.000536102
0.0100326	41.0366	11.8569	0.000538203
0.0101336	42.4361	11.6042	0.00054068
0.0102342	47.7571	11.1379	0.000543711
0.0103344	57.2879	11.3037	0.000546595
0.010435	65.2327	11.8542	0.000549364
0.0105356	81.9098	11.7917	0.000552015
0.0106367	82.2601	11.7143	0.000554566
0.0107376	79.7492	12.3639	0.000557006
0.0108378	105.899	12.1774	0.000559333
0.0109385	131.931	12.3468	0.000561578
0.0110393	150.164	13.3425	0.000564047
0.0111402	175.067	13.7649	0.000567194
0.0112408	181.421	13.8113	0.000570203
0.0113415	192.807	13.9776	0.00057309
0.0114431	213.356	14.546	0.000575887
0.0115437	233.435	15.7273	0.000578545
0.0116435	253.648	16.1595	0.000581084
0.011744	288.285	16.4806	0.000583544
0.0118448	278.394	15.8355	0.00058592
0.0119459	287.822	15.7723	0.000588397
0.0120456	305.66	16.877	0.0005916
0.0121464	301.686	16.7846	0.000594714
0.0122473	311.312	17.0526	0.000597708
0.0123481	312.456	16.9853	0.000600591
0.012449	293.14	16.7823	0.000603368
0.0125495	278.997	17.1181	0.000606033
0.0126503	245.332	15.8782	0.000608616
0.0127513	217.807	15.1828	0.000611111
0.0128514	219.324	15.0363	0.000613553
0.0129518	206.273	15.2601	0.000616859
0.0130529	184.028	14.9768	0.000620066
0.0131541	168.119	14.6368	0.000623159
0.0132549	147.825	15.442	0.000626134
0.0133544	143.403	15.3238	0.000628968
0.0134548	134.866	15.537	0.000631732
0.0135559	129.233	14.6253	0.000634424
0.0136572	127.965	14.4094	0.00063703
0.0137572	123.028	15.0822	0.000639521
0.0138581	114.938	15.3318	0.00064285
0.0139582	91.1735	15.5787	0.000646103
0.014059	101.059	15.4812	0.000649266
0.0141607	98.5407	16.4508	0.00065235
0.0142612	76.6752	16.0532	0.000655954
0.0143616	64.7826	15.7742	0.000660573
0.0144622	68.3093	16.353	0.0006652
0.0145628	62.8542	16.129	0.000669828
0.0146636	61.2456	17.7076	0.000674462
0.0147641	69.4071	15.8212	0.000679084
0.0148647	45.0535	14.7168	0.000683711
0.0149665	40.8004	17.4828	0.000688395
0.0150663	54.9171	18.6027	0.000692985
0.0151657	54.393	16.6751	0.000686352
0.0152678	54.9896	17.1203	0.000690972
0.0153693	55.9665	19.3909	0.000695564
0.0154698	56.0907	18.4543	0.000700111
0.0155699	51.5724	17.6354	0.000704644
0.0156701	47.5287	19.8912	0.000709179
0.0157708	21.1037	19.5578	0.000685771
0.015872	38.3233	19.9249	0.000690172
0.0159728	48.8444	20.5861	0.00069456
0.016073	42.4612	20.7683	0.000698914
0.0161741	47.3096	21.6617	0.000703308
0.0162748	55.351	22.1879	0.000707691
0.0163747	64.9454	22.4601	0.000712035
0.0164755	59.7854	25.7324	0.000716416
0.0165764	82.0421	26.5608	0.000720806
0.0166775	101.178	26.6517	0.000725199
0.016778	109.189	29.1975	0.000729572
0.0168776	93.5641	33.5418	0.000733902
0.0169793	79.9913	35.5246	0.000738322
0.0170799	74.1514	40.3692	0.0007427
0.0171793	122.326	41.8388	0.000747022
0.0172793	100.223	36.3757	0.000751368
0.0173815	93.3335	45.9342	0.000755815
0.0174823	149.833	51.6473	0.000760194
0.0175836	163.844	52.6142	0.000764602
0.0176839	159.441	48.3282	0.000768964
0.0177848	98.8049	55.3771	0.000773352
0.0178868	107.056	63.5225	0.000777787
0.0179871	195.064	57.7389	0.000782147
0.0180861	189.451	80.2421	0.000786453
0.0181865	182.788	80.1058	0.000790815
0.0182888	201.508	112.68	0.000795265
0.0183901	117.562	111.787	0.000770625
0.0184902	-78.4152	283.774	0.000774821
0.018588	-74.0331	401.649	0.000778921
0.0186844	101.269	203.681	0.000782959
0.0187923	0	0	0.000787481
