GRASP V.7.11CD    Instrument:  ILL_d11 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  Acb75 73.1D 
Start: 11-Jul-16   20:44:43   End: 11-Jul-16   20:49:43 
  
Foreground: Sum 11361 , Loaded: 11361 
Background: Sum 11004 , Loaded: 11004 
Cadmium: Sum 11360 , Loaded: 11360 
Det: 1 : Applying Deadtime Correction per Detector: 1/[1-tau/detector_rate], tau = 0 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 128.2904  Cy = 129.2295       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.95753 +/- 0.0030718  Te = 0.94716 +/- 0.0024123 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.0056 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 3 1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
0.358162	1.99832	0.022476	0.0141176
0.360949	1.96954	0.0227762	0.0142275
0.363746	1.9812	0.0231288	0.0143377
0.366546	1.96771	0.0238125	0.0144481
0.369309	1.97315	0.0241965	0.014557
0.37212	1.99647	0.0249241	0.0146678
0.374949	1.97234	0.0254696	0.0147793
0.377738	1.96917	0.0261224	0.0148892
0.380531	1.99902	0.0267009	0.0149993
0.383345	1.96661	0.0270813	0.0151103
0.386121	1.97438	0.0281666	0.0148858
0.388894	1.99062	0.0283411	0.0149927
0.391718	2.01545	0.0291886	0.0151015
0.394502	1.96542	0.0299943	0.0152089
0.397305	2.00585	0.0299977	0.0153169
0.400113	1.98894	0.0314983	0.0154252
0.402876	2.01408	0.0327636	0.015295
0.405691	1.98251	0.0323594	0.0154019
0.408486	2.04251	0.0350283	0.015508
0.411271	1.99929	0.0349365	0.0156137
0.414094	2.0076	0.0365232	0.0157209
0.416892	2.00132	0.0376414	0.0158271
0.419704	1.98143	0.0378819	0.0159339
0.422467	2.00764	0.0413817	0.0160388
0.42524	1.99329	0.0411109	0.016144
0.428057	1.96261	0.0434854	0.016251
0.430843	2.10163	0.0455555	0.0163568
0.433624	2.12303	0.0494428	0.0164623
0.436434	2.06584	0.049232	0.016569
0.439224	2.01584	0.0552269	0.0166749
0.442021	2.05345	0.0568713	0.0167811
0.444783	2.15432	0.067938	0.016886
0.447611	2.13023	0.0681693	0.0169933
0.450479	2.48095	0.0979342	0.0171022
0.453158	2.69452	0.12339	0.0172039
0.456096	2.78911	0.168844	0.0173155
0.458801	3.3311	0.657543	0.0174182
0.461378	3.23298	1.84964	0.017516
0.463979	9.68367	14.0081	0.0176147
