GRASP V.7.11CD    Instrument:  ILL_d11 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  Acb75 73.1D 
Start: 11-Jul-16   19:31:28   End: 11-Jul-16   19:36:28 
  
Foreground: Sum 11344 , Loaded: 11344 
Background: Sum 11000 , Loaded: 11000 
Cadmium: Sum 11343 , Loaded: 11343 
Det: 1 : Applying Deadtime Correction per Detector: 1/[1-tau/detector_rate], tau = 0 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 127.4478  Cy = 127.7277       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.95753 +/- 0.0030718  Te = 0.94716 +/- 0.0024123 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.0056 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 2 1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.00684992	1642.92	59.0789	0.00274284
0.00731858	1534.56	27.5773	0.00274962
0.00780079	1501.53	20.5529	0.00275459
0.00829406	1372.42	15.6443	0.00275837
0.0087929	1201.11	12.3862	0.00276132
0.00928666	1045.01	9.91583	0.00276363
0.00977337	762.177	7.10004	0.00276548
0.0102661	576.054	5.33534	0.00276704
0.0107576	380.688	3.77928	0.00276836
0.011247	285.76	2.87032	0.00276947
0.0117392	222.746	2.33708	0.00277044
0.0122262	207.558	2.22056	0.00277128
0.0127208	196.43	2.03021	0.00277203
0.0132138	191.834	2.02769	0.00277269
0.0136965	180.521	1.89059	0.00277816
0.0141833	169.793	1.76245	0.0027855
0.0146762	158.271	1.63131	0.00279182
0.0151755	153.522	1.57024	0.00279731
0.0156693	150.381	1.55773	0.00280203
0.0161541	148.208	1.50877	0.0028061
0.0166448	151.209	1.49272	0.00280974
0.0171327	150.521	1.4736	0.00281297
0.0176194	150.801	1.44123	0.00281586
0.0181135	153.865	1.44364	0.00281851
0.0186092	148.706	1.39063	0.00282091
0.0191052	143.625	1.33654	0.0028231
0.0195936	138.772	1.33355	0.00282507
0.0200757	126.606	1.23258	0.00282685
0.0205667	112.743	1.11325	0.00283587
0.0210601	101.374	1.04004	0.00284419
0.0215534	86.995	0.943668	0.00285166
0.022045	74.2218	0.848874	0.0028584
0.0225341	63.8922	0.782132	0.0028645
0.0230287	57.7567	0.726388	0.00287013
0.02352	50.3255	0.675983	0.00287525
0.0240077	47.4637	0.644278	0.00287993
0.0244993	44.4835	0.614422	0.00288428
0.0249906	41.2926	0.583545	0.00288831
0.0254813	38.7859	0.56252	0.00289204
