GRASP V.7.11CD    Instrument:  ILL_d11 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  Acb75 73.1D 
Start: 11-Jul-16   19:31:28   End: 11-Jul-16   19:36:28 
  
Foreground: Sum 11344 , Loaded: 11344 
Background: Sum 11000 , Loaded: 11000 
Cadmium: Sum 11343 , Loaded: 11343 
Det: 1 : Applying Deadtime Correction per Detector: 1/[1-tau/detector_rate], tau = 0 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 127.4478  Cy = 127.7277       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.95753 +/- 0.0030718  Te = 0.94716 +/- 0.0024123 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.0056 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 2 1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
0.0259677	36.7941	0.547706	0.00289549
0.0264565	34.9165	0.527319	0.00289872
0.0269517	32.2446	0.491173	0.00290437
0.0274455	29.7621	0.47362	0.00291444
0.0279371	26.6405	0.444638	0.00292368
0.0284215	24.0453	0.428958	0.0029321
0.02891	22.4427	0.403259	0.00293999
0.0294066	20.7814	0.385404	0.00294743
0.0298974	19.6624	0.379361	0.00295429
0.030387	17.9874	0.355827	0.00296069
0.0308795	17.1233	0.345449	0.00296671
0.0313712	16.4297	0.341449	0.00297236
0.0318598	15.0549	0.324584	0.00297763
0.0323443	14.6292	0.323461	0.00298256
0.0328356	13.6705	0.30352	0.00298728
0.0333343	12.9976	0.294531	0.0029918
0.0338281	12.6038	0.293347	0.0030012
0.0343156	11.912	0.284597	0.00301195
0.0348024	11.3806	0.274818	0.00302201
0.0352951	10.5816	0.261394	0.00303158
0.0357894	10.2978	0.262806	0.00304062
0.0362789	9.87532	0.254862	0.00304905
0.0367712	9.5865	0.250578	0.00305705
0.0372641	9.73867	0.248331	0.00306463
0.0377521	9.33988	0.24414	0.00307174
0.0382406	9.01665	0.240065	0.00307849
0.0387316	8.85448	0.236459	0.00308494
0.0392262	8.41884	0.228698	0.00309112
0.0397192	8.20215	0.225891	0.00309698
0.0402045	7.86784	0.221338	0.00310292
0.0406941	7.71744	0.216607	0.00311514
0.0411877	7.5554	0.215414	0.0031268
0.0416786	7.38252	0.215092	0.00313778
0.0421684	7.13017	0.209655	0.00314817
0.0426577	6.67407	0.200514	0.00315805
0.0431494	6.54625	0.201139	0.00316748
0.0436419	6.19776	0.198246	0.00317648
0.0441308	6.08944	0.19444	0.003185
0.0446227	6.00552	0.18989	0.00319319
0.0451169	5.87914	0.18774	0.00320105
0.0456077	5.71589	0.186034	0.00320851
0.046096	5.51695	0.184461	0.00321562
0.0465816	5.3902	0.18108	0.0032224
0.0470714	5.19032	0.17756	0.00323181
0.0475646	4.94547	0.174592	0.00324474
0.048057	5.03787	0.172285	0.00325706
0.0485509	4.92297	0.171491	0.00326885
0.0490423	4.69447	0.170946	0.00328006
0.0495314	4.67475	0.169146	0.00329073
0.050021	4.72627	0.169463	0.00330096
0.0505094	4.46471	0.163983	0.00331075
0.0510019	4.3208	0.161022	0.00332021
0.0514948	4.36015	0.161686	0.00332931
0.0519835	4.25643	0.160818	0.00333798
0.0524729	4.05442	0.157134	0.00334632
0.0529635	3.81455	0.153426	0.00335437
0.0534563	3.92172	0.152917	0.00336216
0.0539498	3.86729	0.154526	0.00337486
0.0544398	3.8292	0.154135	0.00338825
0.0549312	3.74447	0.150743	0.00340114
0.0554201	3.59491	0.149899	0.00341344
0.0559083	3.51242	0.146457	0.00342525
0.0563992	3.47956	0.146162	0.00343667
0.0568878	3.51997	0.14602	0.00344761
0.0573798	3.45939	0.142296	0.00345822
0.0578761	3.40493	0.142168	0.00346853
0.0583694	3.40667	0.141225	0.00347841
0.0588593	3.28827	0.141756	0.00348788
0.0593469	3.23056	0.139173	0.00349699
0.0598374	3.22464	0.138458	0.00350583
0.0603288	3.25636	0.139938	0.00351545
0.0608177	3.13742	0.137733	0.00352982
0.0613111	2.95949	0.132353	0.00354378
0.0618047	3.09917	0.134283	0.00355723
0.0622865	3.10262	0.137637	0.0035699
0.062777	3.14419	0.142489	0.00358235
0.0632648	2.94366	0.14635	0.0035943
0.063759	2.96385	0.152851	0.003606
0.0642496	2.91698	0.153916	0.00361723
0.0647378	2.93437	0.162266	0.00362803
0.065229	2.86492	0.163981	0.00363855
0.0657226	2.82284	0.169072	0.00364879
0.06621	2.57282	0.171328	0.00365858
0.0667011	2.68566	0.173536	0.00366815
0.0671954	2.53172	0.172041	0.00368066
0.0676885	2.73413	0.175382	0.00369551
0.0681776	2.66773	0.183214	0.00370976
0.068662	2.53854	0.18242	0.00372341
0.0691544	2.47409	0.182612	0.00373683
0.0696494	2.32078	0.187644	0.00374989
0.070136	2.44421	0.194859	0.00376233
0.0706286	2.38343	0.196539	0.00377453
0.0711223	2.38963	0.198105	0.00378639
0.0716087	2.33591	0.201397	0.00379772
0.0720953	2.5228	0.210108	0.00380872
0.0725854	2.67904	0.216269	0.00381948
0.0730819	2.48904	0.215067	0.00383007
0.0735762	2.55903	0.221845	0.00384032
0.0740641	2.53073	0.224083	0.00385528
0.0745555	2.47336	0.229109	0.0038704
0.0750398	2.14681	0.235122	0.00388485
0.0755269	2.04537	0.23415	0.00389894
0.0760267	2.28882	0.241369	0.00391298
0.0765209	2.15584	0.243532	0.00392644
0.0770105	2.2888	0.24744	0.00393939
0.0775007	2.40433	0.262976	0.003952
0.077988	2.15813	0.267303	0.00396417
0.0784712	1.86587	0.268209	0.00397592
0.0789611	2.06262	0.280406	0.00398751
0.079461	2.08297	0.285244	0.00399901
0.0799571	1.85442	0.293485	0.00401012
0.0804456	1.98161	0.298324	0.00402236
0.080933	2.2256	0.318894	0.00403806
0.0814162	2.31161	0.338475	0.00405318
0.0819027	2.67763	0.352633	0.00406798
0.0823911	2.43744	0.372175	0.00408244
0.0828932	2.349	0.38064	0.00409688
0.0833944	1.72486	0.409531	0.0041109
0.083891	1.80021	0.403493	0.00412442
0.0843735	2.07771	0.499636	0.00413721
0.0848447	1.71039	0.481805	0.00414938
0.0853215	1.80325	0.612627	0.00416139
0.0858168	2.08372	0.73962	0.00417356
0.0863196	2.54921	0.93477	0.0041856
0.0868367	2.65804	1.14389	0.00419766
0.0873392	1.44917	2.12191	0.00421286
0.0877825	-5.65207	8.17	0.00422731
0.0882043	-16.2412	39.3765	0.00424073
0.0887496	0	0	0.00425763
