sample_name,config_id,mode,entity,thickness,transmission,file_path
Teflon,config_11,scattering,sample,1,,sans-llb2026n001076.nxs
Teflon,config_11,scattering,sample,1,,sans-llb2026n001077.nxs
Teflon,config_11,scattering,sample,1,,sans-llb2026n001078.nxs
Teflon,config_11,scattering,sample,1,,sans-llb2026n001079.nxs
Teflon,config_11,scattering,sample,1,,sans-llb2026n001080.nxs
Teflon,config_12,scattering,sample,1,,sans-llb2026n001081.nxs
EB,config_12,scattering,sample,0,,sans-llb2026n001082.nxs
EB,config_12,scattering,sample,0,,sans-llb2026n001083.nxs
plexi_2,config_12,scattering,sample,1,,sans-llb2026n001084.nxs
plexi_4,config_12,scattering,sample,4,,sans-llb2026n001085.nxs
plexi_4,config_13,transmission,sample,4,,sans-llb2026n001086.nxs
plexi_2,config_13,scattering,sample,2,,sans-llb2026n001087.nxs
plexi_4,config_13,scattering,sample,4,,sans-llb2026n001088.nxs
plexi_4,config_14,scattering,sample,4,,sans-llb2026n001089.nxs
plexi_4,config_14,scattering,sample,4,,sans-llb2026n001090.nxs
plexi_2,config_15,scattering,sample,2,,sans-llb2026n001091.nxs
plexi_4,config_15,scattering,sample,4,,sans-llb2026n001092.nxs
plexi_2,config_16,scattering,sample,2,,sans-llb2026n001093.nxs
plexi_4,config_16,scattering,sample,4,,sans-llb2026n001094.nxs
plexi_6,config_17,scattering,sample,6,,sans-llb2026n001095.nxs
plexi_6,config_18,scattering,sample,6,,sans-llb2026n001096.nxs
Teflon,config_19,scattering,sample,1,,sans-llb2026n001097.nxs
Teflon,config_10,scattering,sample,1,,sans-llb2026n001098.nxs
Teflon,config_10,scattering,sample,1,,sans-llb2026n001099.nxs
Teflon,config_10,scattering,sample,1,,sans-llb2026n001100.nxs
Teflon,config_10,scattering,sample,1,,sans-llb2026n001101.nxs
32_clemence_PEO6pc_0p4pcHSA_D2O,config_11,scattering,sample,2,,sans-llb2026n001102.nxs
32_clemence_PEO6pc_0p4pcHSA_D2O,config_11,scattering,sample,2,,sans-llb2026n001103.nxs
32_clemence_PEO6pc_0p4pcHSA_D2O,config_11,scattering,sample,2,,sans-llb2026n001104.nxs
32_clemence_PEO6pc_0p4pcHSA_D2O,config_11,scattering,sample,2,,sans-llb2026n001105.nxs
test_clemence_emulsion_D2O,config_11,scattering,sample,2,,sans-llb2026n001106.nxs
EC,config_11,scattering,sample,0,,sans-llb2026n001107.nxs
Cd,config_11,scattering,dark,,,sans-llb2026n001108.nxs
32_clemence_PEO6pc_0p4pcHSA_D2O,config_11,scattering,sample,2,,sans-llb2026n001109.nxs
32_clemence_PEO6pc_0p4pcHSA_D2O,config_11,scattering,sample,2,,sans-llb2026n001110.nxs
test_clemence_emulsion_D2O,config_11,scattering,sample,2,,sans-llb2026n001111.nxs
EC,config_11,scattering,sample,0,,sans-llb2026n001112.nxs
EB,config_11,scattering,sample,0,,sans-llb2026n001113.nxs
